method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,170.96135959375962,165.75322003385335,144.2542008427169,3925.534995687392,23.02138749998994,1.0
ga,1,177.75732863676467,165.1868892802696,147.3691490955792,3584.33790102387,19.87380499998108,1.0
nn,1,205.77820577686228,162.85181618526147,145.78301676843856,2888.3030936974333,0.2897749999538064,1.0
proposed,1,165.23361379647187,166.23053218362733,147.02392724465005,3501.593200727614,3221.925184900174,1.0
pso,1,191.3970805179172,164.05024329017357,140.79362701381143,4147.775417844653,13.360263200011104,1.0
