method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,85.56501173657486,173.41807602026347,159.76725599828472,2709.3933941401674,23.660797300050035,1.0
ga,1,85.92715318900358,173.39021898546127,164.4084649905894,2719.218576869273,23.43583139986731,1.0
nn,1,106.59902338626344,171.80007512413357,162.290458800615,2807.1488386405213,0.3129297001287341,1.0
proposed,1,83.14997897412285,173.60384777122133,161.35598983303586,3223.81704568004,2913.86305169994,1.0
pso,1,96.21017314306248,172.59921745053364,160.99245818557702,2824.00195249503,15.788625900167972,1.0
