method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,174.78310027043636,166.55514613304334,146.70362163325458,3891.9347474559218,22.979379400145262,1.0
ga,1,191.86502628045383,165.24115182458047,148.1466564912714,3128.7587023204146,18.0255750999786,1.0
nn,1,208.1324434155312,163.98981204495914,145.78301676843856,2888.3030936974333,0.2839760000351816,1.0
proposed,1,171.79928044015043,166.78467073537303,145.27551748156543,3903.333012511172,2635.5242594999727,1.0
pso,1,196.53038698382207,164.8822779243214,145.9247696966841,2954.8921872102424,12.636928900144994,1.0
