run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k13_h11_s7,aco,84,13,11,7,174.78310027043636,166.55514613304334,146.70362163325458,2165.2168997295635,12.391251099994406,22.979379400145262,3891.9347474559218,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k13_h11_s7,ga,84,13,11,7,191.86502628045383,165.24115182458047,148.1466564912714,2148.134973719546,12.391251099994406,18.0255750999786,3128.7587023204146,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k13_h11_s7,nn,84,13,11,7,208.1324434155312,163.98981204495914,145.78301676843856,2131.8675565844687,12.391251099994406,0.2839760000351816,2888.3030936974333,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k13_h11_s7,proposed,84,13,11,7,171.79928044015043,166.78467073537303,145.27551748156543,2168.2007195598494,12.391251099994406,2635.5242594999727,3903.333012511172,84,11700.0,13,True,True,True,True,True,False,62.0,False,11700.0,11700.0
pso_n84_k13_h11_s7,pso,84,13,11,7,196.53038698382207,164.8822779243214,145.9247696966841,2143.469613016178,12.391251099994406,12.636928900144994,2954.8921872102424,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0
