method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,163.24911013522373,156.67869855211092,137.158506807483,4862.630274319253,24.259693500120196,1.0
ga,1,174.55228815124977,155.06395883553574,148.08042369029084,2940.597796590191,17.278781699948013,1.0
nn,1,203.01328152914127,150.9981026386941,137.887561929831,4179.17919818415,0.1868942000437528,1.0
proposed,1,152.3468398529932,158.23616573528668,147.02392724465005,3240.149354927676,3568.839753899956,1.0
pso,1,187.61613549623405,153.19769492910945,136.3433679484442,4296.732999086138,10.288212100043893,1.0
