method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,107.9254794501688,169.20745205498312,155.24509253454517,3499.705423390345,24.220638600061648,1.0
ga,1,121.81612778878532,167.81838722112147,159.4744144209301,2630.867359953087,18.18511989992112,1.0
nn,1,133.25157379262507,166.67484262073748,156.79361035237577,3243.9336062442267,0.2490704000229016,1.0
proposed,1,102.89497529922248,169.71050247007776,153.50622150142885,3182.865003632006,1987.4486378000583,1.0
pso,1,129.74184701149977,167.02581529885003,156.99927902276107,3063.826086329762,11.346990499994718,1.0
