epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
0,0.0,0.0,normal,initial,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
1,60.0,1.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
2,120.0,2.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
3,180.0,3.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
4,240.0,4.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
5,300.0,5.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
6,360.0,6.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
7,420.0,7.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
8,480.0,8.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
9,540.0,9.0,normal,normal,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
10,600.0,10.0,degrading,degrading,7 11 57 73,1.0,1.0,0.0,3397,125.44254,30.31022192507107,0,0.0,34.78485670281197,0.0
11,660.0,11.0,degrading,degrading,7 11 57 73,1.06951871657754,0.935,0.0,3397,125.44254,28.340057499941455,3397,125.44254,34.565163142647755,-0.6315781664452236
12,720.0,12.0,degrading,degrading,7 11 57 73,1.1494252873563218,0.87,0.0,3397,125.44254,26.369893074811834,3397,125.44254,34.321064729417685,-0.7061977755542292
13,780.0,13.0,degrading,degrading,7 11 57 73,1.2422360248447206,0.8049999999999999,0.0,3397,125.44254,24.399728649682206,3397,125.44254,34.04183921998553,-0.8135689018785586
14,840.0,14.0,degrading,degrading,7 11 57 73,1.3513513513513513,0.74,0.0,3397,125.44254,22.429564224552593,3397,125.44254,33.71931626348574,-0.947431055107173
15,900.0,15.0,degrading,degrading,7 11 57 73,1.4814814814814814,0.675,0.0,3397,125.44254,20.459399799422975,3397,125.44254,33.34257871389501,-1.1172751744040976
16,960.0,16.0,degrading,degrading,7 11 57 73,1.639344262295082,0.61,0.0,3397,125.44254,18.48923537429335,3397,125.44254,32.89670240247868,-1.337258030466959
17,1020.0,17.0,degrading,degrading,7 11 57 73,1.8348623853211008,0.545,0.0,3397,125.44254,16.519070949163734,3397,125.44254,32.36073198260743,-1.629252723613006
18,1080.0,18.0,degrading,degrading,7 11 57 73,2.0833333333333335,0.48,0.0,3397,125.44254,14.548906524034113,3397,125.44254,31.70429187079012,-2.028508230809256
19,1140.0,19.0,degrading,degrading,7 11 57 73,2.409638554216868,0.4149999999999999,0.0,3397,125.44254,12.578742098904492,3397,125.44254,30.881622571183307,-2.5948199788204507
20,1200.0,20.0,disrupted,holding,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,-3.4363248481686925
21,1260.0,21.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
22,1320.0,22.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
23,1380.0,23.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
24,1440.0,24.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
25,1500.0,25.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
26,1560.0,26.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
27,1620.0,27.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
28,1680.0,28.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
29,1740.0,29.0,disrupted,disrupted,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
30,1800.0,30.0,recovering,recovering,7 11 57 73,2.857142857142857,0.35,0.0,3397,125.44254,10.608577673774873,3397,125.44254,29.820429701252063,0.0
31,1860.0,31.0,recovering,recovering,7 11 57 73,2.6595744680851063,0.376,0.04,3397,125.44254,11.396643443826722,3397,125.44254,30.27980488269011,1.5404713682538373
32,1920.0,32.0,recovering,recovering,7 11 57 73,2.4875621890547266,0.40199999999999997,0.08,3397,125.44254,12.18470921387857,3397,125.44254,30.691440450918655,1.3594393022785312
33,1980.0,33.0,recovering,recovering,7 11 57 73,2.336448598130841,0.428,0.12,3397,125.44254,12.972774983930417,3397,125.44254,31.062410676936217,1.2087090751273566
34,2040.0,34.0,recovering,recovering,7 11 57 73,2.2026431718061676,0.45399999999999996,0.16,3397,125.44254,13.760840753982263,3397,125.44254,31.39845789284001,1.081845254699787
35,2100.0,35.0,recovering,recovering,7 11 57 73,2.0833333333333335,0.48,0.2,3397,125.44254,14.548906524034113,3397,125.44254,31.70429187079012,0.9740413971727202
36,2160.0,36.0,recovering,recovering,7 11 57 73,1.976284584980237,0.506,0.24,3397,125.44254,15.336972294085962,3397,125.44254,31.983811926372642,0.8816473703992411
37,2220.0,37.0,recovering,recovering,7 11 57 73,1.8796992481203008,0.532,0.28,3397,125.44254,16.12503806413781,3397,125.44254,32.24027405729201,0.8018497967339
38,2280.0,38.0,recovering,recovering,7 11 57 73,1.7921146953405016,0.558,0.32,3397,125.44254,16.91310383418966,3397,125.44254,32.47641835812188,0.7324512825487517
39,2340.0,39.0,recovering,recovering,7 11 57 73,1.7123287671232879,0.584,0.36,3397,125.44254,17.701169604241503,3397,125.44254,32.69456730617113,0.671714921404476
40,2400.0,40.0,recovering,recovering,7 11 57 73,1.639344262295082,0.61,0.4,3397,125.44254,18.48923537429335,3397,125.44254,32.89670240247868,0.6182528565514822
41,2460.0,41.0,recovering,recovering,7 11 57 73,1.572327044025157,0.636,0.44,3397,125.44254,19.277301144345202,3397,125.44254,33.084524532211674,0.5709451586820569
42,2520.0,42.0,recovering,recovering,7 11 57 73,1.5105740181268883,0.6619999999999999,0.48,3397,125.44254,20.06536691439705,3397,125.44254,33.259501941339856,0.5288799268002853
43,2580.0,43.0,recovering,recovering,7 11 57 73,1.4534883720930234,0.688,0.52,3397,125.44254,20.853432684448897,3397,125.44254,33.4229086957123,0.49130848279281825
44,2640.0,44.0,recovering,recovering,7 11 57 73,1.400560224089636,0.714,0.56,3397,125.44254,21.64149845450074,3397,125.44254,33.57585575481711,0.4576114559545541
45,2700.0,45.0,recovering,recovering,7 11 57 73,1.3513513513513513,0.74,0.6,3397,125.44254,22.429564224552593,3397,125.44254,33.71931626348574,0.427272828773817
