method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,81.9811118336767,172.54717165148392,160.86793479879017,2691.554177016817,24.56729539996013,1.0
ga,1,85.64059111595763,172.21449171673112,162.15702131167856,3034.722050702043,24.58859340008348,1.0
nn,1,108.19471274744213,170.1641170229598,159.54545620349245,3419.821360620862,0.2793163000606,1.0
proposed,1,80.52709312819611,172.67935517016397,158.3905966245444,3274.903674147347,5524.868858400034,1.0
pso,1,102.01503989423271,170.72590546416066,161.9167333522782,2660.8745049346226,13.14773890003562,1.0
