run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k9_h04_s7,aco,84,9,4,7,80.2874713135617,171.0791698540487,160.0816707832448,1539.7125286864384,14.55012120003812,24.378158700070344,3247.315756663216,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k9_h04_s7,ga,84,9,4,7,81.56089605676577,170.9376782159149,161.10993560211924,1538.4391039432342,14.55012120003812,21.43606500001624,3041.581982420823,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k9_h04_s7,nn,84,9,4,7,105.6727393309251,168.25858451878608,156.21535946738734,1514.3272606690748,14.55012120003812,0.2564450999489054,3068.476187764144,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k9_h04_s7,proposed,84,9,4,7,78.16244773171778,171.31528358536468,162.94383481886064,1541.8375522682825,14.55012120003812,3301.5606372000184,2852.926856508293,84,11700.0,9,True,True,True,True,True,False,64.0,False,11700.0,11700.0
pso_n84_k9_h04_s7,pso,84,9,4,7,100.27876447140396,168.85791505873289,157.65816798988047,1519.721235528596,14.55012120003812,12.310033199959436,3003.866433799876,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0
