method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,80.62554057489766,169.9218074281378,163.86377521831162,2758.366955690212,23.84368639998138,1.0
ga,1,90.5712036861409,168.67859953923238,156.94028890792913,3146.3718039323694,17.01261729991529,1.0
nn,1,103.6206663124052,167.04741671094934,158.1232757209199,3642.516338861829,0.2189145000884309,1.0
proposed,1,75.1824759748784,170.6021905031402,164.50003349578955,2691.204761782897,2574.840328499908,1.0
pso,1,98.02241871520322,167.7471976605996,162.97936508582129,2831.4653866212307,12.346557200071402,1.0
