method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,82.274989765032,166.28750170582802,160.1485992649189,3065.1156728842343,47.09085180005059,1.0
ga,1,89.03634953192918,165.16060841134515,159.15367662170112,3148.662241798256,24.846641800017096,1.0
nn,1,103.10504333226298,162.8158261112895,149.74378161469355,3500.7866688524487,0.2600737001048401,1.0
proposed,1,73.49055195497029,167.75157467417162,163.50610455255392,2795.4682441767404,6757.445216600085,1.0
pso,1,97.30297498144712,163.78283750309214,149.74378161469355,3500.7866688524487,15.263257200014776,1.0
