idx,node_id,lon,lat,SUMO_EDGE_ID,SNAP_DISTANCE_M,OUTBOUND_REACHABLE,RETURN_REACHABLE,ROUND_TRIP_FEASIBLE
0.0,5177735574.0,127.0258265,37.6030284,219095464#3,4.1828211807349085,True,True,True
1.0,1936511929.0,127.0332205,37.6032212,1211909480#15,2.5657772003248067,True,True,True
2.0,3828637008.0,127.02433,37.6018498,219095464#1,6.6636779559770005,True,True,True
3.0,3836498780.0,127.0271818,37.603908,-416461519#1,7.060987607680415,True,True,True
4.0,4172034616.0,127.0298226,37.6036772,-379553585#1,8.268983056885048,True,True,True
5.0,414686133.0,127.0304232,37.6090843,617286974,9.54997545055637,True,True,True
6.0,436866548.0,127.032837,37.6103489,219054273#1,6.175068224548368,True,True,True
7.0,13348481104.0,127.0250086,37.6042788,1069458450,7.417019752025238,True,True,True
8.0,4553252209.0,127.0214658,37.5967971,1492450445#2,5.374231673458656,True,True,True
9.0,436863423.0,127.0375927,37.603916,914604025#1,6.141640234979488,True,True,True
10.0,2655442277.0,127.0392985,37.6042826,518796193,7.386784353425353,True,True,True
11.0,3835922959.0,127.0360322,37.6121054,-415103953,1.0510819037399581,True,True,True
12.0,3836301797.0,127.043509,37.6047517,-392872584#4,7.273834068092405,True,True,True
13.0,287725181.0,127.0173308,37.5929893,1459747340#2,4.573197654557881,True,True,True
14.0,436837682.0,127.02037,37.59529,416461506#4,4.225626262302155,True,True,True
15.0,5209070013.0,127.0188684,37.6023916,1389567234#12,7.770717094903443,True,True,True
16.0,3836537827.0,127.0174643,37.6031291,616217916#0,4.485498516413441,True,True,True
17.0,3828636306.0,127.0190412,37.5943861,540235870#4,6.796316647271501,True,True,True
18.0,3836538650.0,127.0185856,37.6107831,392871301#4,8.840078998843412,True,True,True
19.0,12866020498.0,127.0264126,37.6103321,-415376030#1,7.192081208833857,True,True,True
20.0,3836538641.0,127.0170487,37.6103416,-415666718#3,5.795582983532012,True,True,True
21.0,6615871591.0,127.0358529,37.6028147,1455063481,4.726083458242253,True,True,True
22.0,3836302746.0,127.0431475,37.6139206,-380285359#0,7.221150690058974,True,True,True
23.0,4459432946.0,127.0325217,37.5972208,-518962603,5.6917499867960775,True,True,True
24.0,5218111553.0,127.0521212,37.6082012,535711085#7,6.2087867284755145,True,True,True
25.0,1936512035.0,127.0539426,37.6091617,535711085#10,1.5982586902122091,True,True,True
26.0,3828636543.0,127.0392262,37.5974226,-37402230#4,10.949343820992599,True,True,True
27.0,3828636433.0,127.0386111,37.5962061,37402230#2,6.945371513538831,True,True,True
28.0,3836538607.0,127.0193205,37.6085483,-380312349#1,7.163636862350128,True,True,True
29.0,5209074448.0,127.0124881,37.6038011,976312216#1,0.009390006102049757,True,True,True
30.0,436852012.0,127.0226627,37.6099403,-37401109#7,7.797197136959754,True,True,True
31.0,414686147.0,127.04906,37.61356,37402533#6,7.884755177744198,True,True,True
32.0,287758984.0,127.0197876,37.5905509,518705242#2,7.34318302144299,True,True,True
33.0,3521360380.0,127.0116556,37.6024739,518705504#2,5.682386007532063,True,True,True
34.0,3836344343.0,127.0448527,37.6139033,218647396#7,7.3487202546055,True,True,True
35.0,436860298.0,127.0169073,37.5904106,518705250#13,6.87362448048835,True,True,True
36.0,282723804.0,127.0253159,37.5865641,-26269734#1,1.6011180454580214,True,True,True
37.0,3836538795.0,127.0170448,37.6129283,392871301#0,4.98232799949566,True,True,True
38.0,5209074443.0,127.0115795,37.6049163,617286516#1,5.362151335826828,True,True,True
39.0,3841733112.0,127.0096067,37.6014591,-345476691#4,5.859054343488356,True,True,True
40.0,3836346829.0,127.0425031,37.6169169,-380291624#2,7.411707280635865,True,True,True
41.0,3830874285.0,127.0592623,37.6086882,218799087#5,7.3997763713902955,True,True,True
42.0,3836346995.0,127.0441185,37.617782,380291624#5,7.335543918447872,True,True,True
43.0,1943132014.0,127.0288328,37.5862914,-1463443081#2,7.294730537800444,True,True,True
44.0,3830773342.0,127.0593473,37.6102648,-183272335#0,6.2767001842500765,True,True,True
45.0,3830897061.0,127.0442253,37.6035025,-379761178#1,5.019532348582206,True,True,True
46.0,1936512086.0,127.0570663,37.6108045,183521097#1,6.2354635960406375,True,True,True
47.0,414687713.0,127.0534,37.61427,37402533#0,8.173405382165438,True,True,True
48.0,3830773377.0,127.0609307,37.6106376,-183272335#7,7.137943853473792,True,True,True
49.0,3809204427.0,127.0111815,37.590898,536149415#0,2.761659332802393,True,True,True
50.0,3829360844.0,127.0192454,37.5844138,-379598591,3.528442016840989,True,True,True
51.0,3809204393.0,127.0094719,37.5900522,536149382,7.340737730853516,True,True,True
52.0,3828659358.0,127.0227173,37.584164,-416453503#0,7.169250672081984,True,True,True
53.0,3841732870.0,127.0117644,37.5921369,-380873923#2,6.156048386784847,True,True,True
54.0,3828659364.0,127.0288965,37.5843225,702362022#1,3.534058282936913,True,True,True
55.0,3835970692.0,127.0515334,37.6181925,-218779910#2,7.474646640966567,True,True,True
56.0,414686124.0,127.0673209,37.6072196,801008456#3,7.354606046715197,True,True,True
57.0,3841557216.0,127.0086868,37.6112671,-518709822#0,7.761835714740528,True,True,True
58.0,3836121918.0,127.0512485,37.6168194,380269068#4,7.215845738659403,True,True,True
59.0,3836121924.0,127.0537493,37.6167641,380269109#8,7.187424403568567,True,True,True
60.0,3841557210.0,127.0112752,37.611213,-380851157#2,7.740158548134908,True,True,True
61.0,436839376.0,127.0671331,37.6107222,801008455#0,2.676876275965396,True,True,True
62.0,287298430.0,127.0670893,37.614152,-183521263,8.323245876235676,True,True,True
63.0,2282620152.0,127.0508068,37.6229922,219055002#3,6.524034916225734,True,True,True
64.0,3841557729.0,127.0109567,37.6161757,1426525827,6.314545602039622,True,True,True
65.0,3841557735.0,127.0088498,37.6162321,-481779209#2,7.162882640630652,True,True,True
