method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,86.80037661819532,173.79997309870032,164.32440261504982,2692.723220217049,24.048612900078297,1.0
ga,1,87.43633016308367,173.75454784549402,163.8685720100486,2845.377978847979,21.410699399886653,1.0
nn,1,107.62441103271009,172.31254206909213,162.290458800615,2807.1488386405213,0.3197341000195592,1.0
proposed,1,81.64555816173345,174.16817441701906,164.72792769679552,2691.204761782897,2274.5955488998443,1.0
pso,1,100.35089966487848,172.83207859536583,161.447710665079,2775.0648807772263,14.175435499986634,1.0
