method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,48,173.94145021138863,3332.380788184789,663.8039683001116,173.94145021138863,3332.380788184789,136.66702680346515,True,31.84011709992774,0.0,5,5,9,2,182,1497,631.9638512001839,3332.380788184789,173.94145021138863,0.12157648630594522,-1.923066961448539,-0.08303078009940619,-1.923066961448539
aco,static_frozen,47,173.7971450860332,3143.9184424767377,31.84011709992774,173.7971450860332,3143.9184424767377,129.61661995493748,True,31.84011709992774,0.0,0,0,0,0,230,1517,0.0,3143.9184424767377,173.7971450860332,0.15161502966381016,0.0,0.0,0.0
aco,static_live,47,170.65955273616362,3143.1450077954787,31.84011709992774,170.65955273616362,3143.1450077954787,132.1419433190921,True,31.84011709992774,0.0,0,0,0,0,188,1495,0.0,3143.1450077954787,170.65955273616362,0.12575250836120402,0.0,0.0,0.0
ga,adaptive,41,189.9754483722191,2868.842077955973,2510.8104383001337,189.9754483722191,2868.842077955973,145.80238472621954,True,25.747750799986534,0.0,19,5,7,3,165,2088,2485.062687500147,2868.842077955973,189.9754483722191,0.07902298850574713,-4.320986981830681,-2.4191838016132685,-4.320986981830681
ga,static_frozen,44,185.4881491149187,3150.4103709267906,25.747750799986534,185.4881491149187,3150.4103709267906,146.34969956943988,True,25.747750799986534,0.0,0,0,0,0,247,1897,0.0,3150.4103709267906,185.4881491149187,0.13020558777016342,0.0,0.0,0.0
ga,static_live,43,182.1066439922646,3123.4394655696965,25.747750799986534,182.1066439922646,3123.4394655696965,147.74188175333884,True,25.747750799986534,0.0,0,0,0,0,209,1870,0.0,3123.4394655696965,182.1066439922646,0.11176470588235295,0.0,0.0,0.0
nn,adaptive,43,219.23463818799056,3135.781080893326,62.49902869982179,219.23463818799056,3135.781080893326,132.5221267766176,True,10.21008449990768,0.0,25,2,8,1,191,1997,52.28894419991411,3135.781080893326,219.23463818799056,0.09564346519779669,2.545932786504433,5.207431822100948,2.545932786504433
nn,static_frozen,43,231.27829786882518,3150.3281438591125,10.21008449990768,231.27829786882518,3150.3281438591125,129.72928208789764,True,10.21008449990768,0.0,0,0,0,0,253,2178,0.0,3150.3281438591125,231.27829786882518,0.11616161616161616,0.0,0.0,0.0
nn,static_live,43,224.96202001267594,3104.3510773115695,10.21008449990768,224.96202001267594,3104.3510773115695,132.5221267766176,True,10.21008449990768,0.0,0,0,0,0,186,2209,0.0,3104.3510773115695,224.96202001267594,0.08420099592575826,0.0,0.0,0.0
proposed,adaptive,49,154.54373802086798,3256.9727664363872,1663.2407423002878,154.54373802086798,3256.9727664363872,133.79001509042212,True,1139.5955789000727,0.0,17,4,9,2,185,1707,523.6451634002151,3256.9727664363872,154.54373802086798,0.10837727006444053,-1.2107249399061182,2.4451618341484247,-1.2107249399061182
proposed,static_frozen,50,158.4172973134663,3099.7223714939805,1139.5955789000727,158.4172973134663,3099.7223714939805,131.75311257901996,True,1139.5955789000727,0.0,0,0,0,0,238,1517,0.0,3099.7223714939805,158.4172973134663,0.15688859591298615,0.0,0.0,0.0
proposed,static_live,49,152.6950213158026,3059.550171472765,1139.5955789000727,152.6950213158026,3059.550171472765,133.79001509042212,True,1139.5955789000727,0.0,0,0,0,0,175,1557,0.0,3059.550171472765,152.6950213158026,0.1123956326268465,0.0,0.0,0.0
pso,adaptive,48,191.4691150285777,3422.6612046699897,2060.556781899766,191.4691150285777,3422.6612046699897,139.45245451001617,True,21.334564200020395,0.0,56,10,9,4,158,1918,2039.2222176997457,3422.6612046699897,191.4691150285777,0.08237747653806048,5.97435872579892,7.030177660944556,5.97435872579892
pso,static_frozen,44,205.94759698507454,3035.3778195677337,21.334564200020395,205.94759698507454,3035.3778195677337,139.81058940830465,True,21.334564200020395,0.0,0,0,0,0,232,1871,0.0,3035.3778195677337,205.94759698507454,0.12399786210582577,0.0,0.0,0.0
pso,static_live,43,203.635000446536,2951.124665687308,21.334564200020395,203.635000446536,2951.124665687308,142.12635671381176,True,21.334564200020395,0.0,0,0,0,0,159,1933,0.0,2951.124665687308,203.635000446536,0.08225556130367305,0.0,0.0,0.0
