method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,107.75401677382489,166.5307479032719,153.86546302612592,2634.8765595357395,24.40987099998165,1.0
ga,1,112.83678161487674,165.8954022981404,157.68873152289615,3311.545209591644,17.722051099990495,1.0
nn,1,129.00710537795223,163.87411182775597,156.79361035237577,3243.9336062442267,0.2165913000935688,1.0
proposed,1,103.27360679212298,167.09079915098462,153.50622150142885,3661.077596676608,2804.065452800016,1.0
pso,1,127.7890650152636,164.02636687309206,156.99927902276107,3230.3790598761047,10.028302699909544,1.0
