run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k6_h11_s7,aco,84,6,11,7,176.61528777176508,150.5641187047058,141.30425765759816,903.3847122282348,26.057738700066693,22.9225587999681,4216.114277049887,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k6_h11_s7,ga,84,6,11,7,180.42910007615444,149.92848332064094,130.67174931435122,899.5708999238456,26.057738700066693,12.757424999959769,5163.894986578187,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k6_h11_s7,nn,84,6,11,7,195.7575286058029,147.3737452323662,127.8833263368572,884.2424713941971,26.057738700066693,0.156213599955663,5236.728209689418,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k6_h11_s7,proposed,84,6,11,7,150.30643123322838,154.94892812779526,147.31133716479954,929.6935687667716,26.057738700066693,7956.180402799975,3652.532991795634,84,11700.0,6,True,True,True,True,True,False,59.0,False,11700.0,11700.0
pso_n84_k6_h11_s7,pso,84,6,11,7,192.97047298856623,147.83825450190565,128.77931582003131,887.0295270114339,26.057738700066693,7.789944099960849,5232.660802554429,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0
