method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,176.61528777176508,150.5641187047058,141.30425765759816,4216.114277049887,22.9225587999681,1.0
ga,1,180.42910007615444,149.92848332064094,130.67174931435122,5163.894986578187,12.757424999959769,1.0
nn,1,195.7575286058029,147.3737452323662,127.8833263368572,5236.728209689418,0.156213599955663,1.0
proposed,1,150.30643123322838,154.94892812779526,147.31133716479954,3652.532991795634,7956.180402799975,1.0
pso,1,192.97047298856623,147.83825450190565,128.77931582003131,5232.660802554429,7.789944099960849,1.0
