run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k11_h11_s7,aco,84,11,11,7,166.85779226332605,164.83110979424308,142.68860418605257,1813.142207736674,13.701984699815512,23.672403400065377,3459.2271319917536,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k11_h11_s7,ga,84,11,11,7,184.8704678607529,163.19359383084063,148.04808446316332,1795.1295321392472,13.701984699815512,20.737957999808717,3281.9546844991232,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k11_h11_s7,nn,84,11,11,7,206.26526871151935,161.2486119353164,145.78301676843856,1773.7347312884806,13.701984699815512,0.2626885999925434,2888.3030936974333,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k11_h11_s7,proposed,84,11,11,7,165.2007601270518,164.9817490793589,151.33087061123788,1814.799239872948,13.701984699815512,5981.648944000015,3385.6971390982385,84,11700.0,11,True,True,True,True,True,False,64.0,False,11700.0,11700.0
pso_n84_k11_h11_s7,pso,84,11,11,7,198.6975807101534,161.93658357180422,141.14546377444535,1781.3024192898465,13.701984699815512,11.25042250007391,3519.0471317558467,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0
