method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,166.85779226332605,164.83110979424308,142.68860418605257,3459.2271319917536,23.672403400065377,1.0
ga,1,184.8704678607529,163.19359383084063,148.04808446316332,3281.9546844991232,20.737957999808717,1.0
nn,1,206.26526871151935,161.2486119353164,145.78301676843856,2888.3030936974333,0.2626885999925434,1.0
proposed,1,165.2007601270518,164.9817490793589,151.33087061123788,3385.6971390982385,5981.648944000015,1.0
pso,1,198.6975807101534,161.93658357180422,141.14546377444535,3519.0471317558467,11.25042250007391,1.0
