method,start_hour,vehicles,energy_kwh
aco,4,9,80.2874713135617
aco,11,8,163.15024117979388
aco,19,7,107.035993377756
ga,4,9,81.56089605676577
ga,11,8,171.03955123906564
ga,19,7,111.15051665370429
nn,4,7,96.42064903025596
nn,11,6,195.7575286058029
nn,19,6,126.70282727239056
proposed,4,7,73.04222454086185
proposed,11,6,150.30643123322838
proposed,19,6,97.50349778483094
pso,4,7,94.31034511191426
pso,11,9,186.68381767591416
pso,19,6,126.13707813299573
