method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,45,162.81401500174945,2994.0231907156876,634.9117691998836,162.81401500174945,2994.0231907156876,149.945832737842,True,31.84011709992774,0.0,7,5,8,2,190,1466,603.0716520999558,2994.0231907156876,162.81401500174945,0.1296043656207367,-0.2070262769382836,1.5581463410146272,-0.2070262769382836
aco,static_frozen,47,165.39104958929067,3143.5702436979223,31.84011709992774,165.39104958929067,3143.5702436979223,144.75123858847596,True,31.84011709992774,0.0,0,0,0,0,244,1517,0.0,3143.5702436979223,165.39104958929067,0.16084377059986815,0.0,0.0,0.0
aco,static_live,47,162.4776435853776,3142.9006523092867,31.84011709992774,162.4776435853776,3142.9006523092867,146.25261069198953,True,31.84011709992774,0.0,0,0,0,0,199,1486,0.0,3142.9006523092867,162.4776435853776,0.13391655450874831,0.0,0.0,0.0
ga,adaptive,39,182.92216324773352,2915.527863282182,2479.343915600213,182.92216324773352,2915.527863282182,146.8313243125856,True,25.747750799986534,0.0,6,2,7,1,153,1866,2453.5961648002267,2915.527863282182,182.92216324773352,0.0819935691318328,-3.7995179291831622,0.5109261821992029,-3.7995179291831622
ga,static_frozen,45,183.8615600972704,3225.6229301962617,25.747750799986534,183.8615600972704,3225.6229301962617,141.89960608137542,True,25.747750799986534,0.0,0,0,0,0,295,1897,0.0,3225.6229301962617,183.8615600972704,0.1555086979441223,0.0,0.0,0.0
ga,static_live,46,176.2264092329711,3398.457291016984,25.747750799986534,176.2264092329711,3398.457291016984,145.70986450512908,True,25.747750799986534,0.0,0,0,0,0,213,1929,0.0,3398.457291016984,176.2264092329711,0.1104199066874028,0.0,0.0,0.0
nn,adaptive,40,185.24983239988677,2967.263973108899,53.76266050012782,185.24983239988677,2967.263973108899,147.65480208265288,True,10.21008449990768,0.0,32,3,7,3,187,2046,43.55257600022014,2967.263973108899,185.24983239988677,0.0913978494623656,8.87058289572364,15.34646799037967,8.87058289572364
nn,static_frozen,41,218.8329630225403,3016.9147136967495,10.21008449990768,218.8329630225403,3016.9147136967495,139.22105388423975,True,10.21008449990768,0.0,0,0,0,0,327,2178,0.0,3016.9147136967495,218.8329630225403,0.15013774104683195,0.0,0.0,0.0
nn,static_live,42,203.2821434465136,3075.0098502001047,10.21008449990768,203.2821434465136,3075.0098502001047,147.2413416175915,True,10.21008449990768,0.0,0,0,0,0,189,2227,0.0,3075.0098502001047,203.2821434465136,0.08486753480017961,0.0,0.0,0.0
proposed,adaptive,45,167.93941268076958,2871.0445445972236,1716.2659316998906,167.93941268076958,2871.0445445972236,147.9375214793428,True,1139.5955789000727,0.0,7,4,8,2,205,1522,576.6703527998179,2871.0445445972236,167.93941268076958,0.13469119579500657,-0.13762023786985433,3.4307510641878154,-0.13762023786985433
proposed,static_frozen,45,173.90568377765456,2813.2827309811737,1139.5955789000727,173.90568377765456,2813.2827309811737,147.9375214793428,True,1139.5955789000727,0.0,0,0,0,0,242,1517,0.0,2813.2827309811737,173.90568377765456,0.15952537903757416,0.0,0.0,0.0
proposed,static_live,45,167.70861169043297,2812.7267567922377,1139.5955789000727,167.70861169043297,2812.7267567922377,147.9375214793428,True,1139.5955789000727,0.0,0,0,0,0,205,1544,0.0,2812.7267567922377,167.70861169043297,0.1327720207253886,0.0,0.0,0.0
pso,adaptive,49,159.9726925296431,3513.635315817206,1813.6455250999425,159.9726925296431,3513.635315817206,153.2663928314089,True,21.334564200020395,0.0,62,15,9,4,173,1717,1792.310960899922,3513.635315817206,159.9726925296431,0.10075713453698311,18.3862444800767,22.573322793349334,18.3862444800767
pso,static_frozen,40,206.61185304733965,2799.218087764899,21.334564200020395,206.61185304733965,2799.218087764899,145.4712380088594,True,21.334564200020395,0.0,0,0,0,0,264,1871,0.0,2799.218087764899,206.61185304733965,0.14110101549973275,0.0,0.0,0.0
pso,static_live,40,196.01192410584642,2763.44045184278,21.334564200020395,196.01192410584642,2763.44045184278,149.5464988624084,True,21.334564200020395,0.0,0,0,0,0,152,1964,0.0,2763.44045184278,196.01192410584642,0.07739307535641547,0.0,0.0,0.0
