traffic_seed,method,reference_policy,reference_energy,adaptive_energy,energy_delta,energy_gain_pct,reference_operating_time,adaptive_operating_time,operating_time_delta,operating_time_gain_pct,reference_compute_aware_energy,adaptive_compute_aware_energy,compute_aware_energy_delta,compute_aware_energy_gain_pct,reference_compute_aware_time,adaptive_compute_aware_time,compute_aware_time_delta,compute_aware_time_gain_pct,adaptive_energy_win
2026,aco,static_live,158.90322291517694,152.23428131621876,-6.668941598958185,4.19685735544715,3159.42681774875,3778.24093958136,618.81412183261,-19.586278066524294,158.90322291517694,152.23428131621876,-6.668941598958185,4.19685735544715,3159.42681774875,3778.24093958136,618.81412183261,-19.586278066524294,1
2026,aco,static_frozen,158.94427532555702,152.23428131621876,-6.70999400933826,4.221601561675965,3159.42681774875,3778.24093958136,618.81412183261,-19.586278066524294,158.94427532555702,152.23428131621876,-6.70999400933826,4.221601561675965,3159.42681774875,3778.24093958136,618.81412183261,-19.586278066524294,1
2026,ga,static_live,178.6594097399426,177.49800966225993,-1.1614000776826572,0.6500637606343803,3083.078422568936,2851.4850600056634,-231.59336256327242,7.511757108348227,178.6594097399426,177.49800966225993,-1.1614000776826572,0.6500637606343803,3083.078422568936,2851.4850600056634,-231.59336256327242,7.511757108348227,1
2026,ga,static_frozen,178.6594097399426,177.49800966225993,-1.1614000776826572,0.6500637606343803,3083.078422568936,2851.4850600056634,-231.59336256327242,7.511757108348227,178.6594097399426,177.49800966225993,-1.1614000776826572,0.6500637606343803,3083.078422568936,2851.4850600056634,-231.59336256327242,7.511757108348227,1
2026,nn,static_live,228.9737375506911,216.07661106340493,-12.897126487286187,5.632578925970045,2948.493475462956,3109.667955410056,161.17447994709983,-5.466333274547711,228.9737375506911,216.07661106340493,-12.897126487286187,5.632578925970045,2948.493475462956,3109.667955410056,161.17447994709983,-5.466333274547711,1
2026,nn,static_frozen,231.9730252900693,216.07661106340493,-15.896414226664376,6.852699449337611,2966.068933324857,3109.667955410056,143.59902208519907,-4.8413919336739655,231.9730252900693,216.07661106340493,-15.896414226664376,6.852699449337611,2966.068933324857,3109.667955410056,143.59902208519907,-4.8413919336739655,1
2026,proposed,static_live,143.94069857229124,143.92979688469367,-0.010901687597566934,0.007573735368591244,3030.624239135442,3030.624239135442,0.0,0.0,143.94069857229124,143.92979688469367,-0.010901687597566934,0.007573735368591244,3030.624239135442,3030.624239135442,0.0,0.0,1
2026,proposed,static_frozen,143.9406985722913,143.92979688469367,-0.010901687597623777,0.007573735368630732,3030.624239135442,3030.624239135442,0.0,0.0,143.9406985722913,143.92979688469367,-0.010901687597623777,0.007573735368630732,3030.624239135442,3030.624239135442,0.0,0.0,1
2026,pso,static_live,214.30125895505307,195.69602326487896,-18.605235690174112,8.681813527785351,3011.628756739801,3344.308906141169,332.680149401368,-11.046519218441336,214.30125895505307,195.69602326487896,-18.605235690174112,8.681813527785351,3011.628756739801,3344.308906141169,332.680149401368,-11.046519218441336,1
2026,pso,static_frozen,217.44947318543743,195.69602326487896,-21.753449920558467,10.003910150661747,2970.378768022388,3344.308906141169,373.93013811878063,-12.58863489546604,217.44947318543743,195.69602326487896,-21.753449920558467,10.003910150661747,2970.378768022388,3344.308906141169,373.93013811878063,-12.58863489546604,1
2027,aco,static_live,164.10306655927062,160.72144430363664,-3.381622255633971,2.060669752574428,3294.792528056628,4140.721565420517,845.9290373638896,-25.674728534814456,164.10306655927062,160.72144430363664,-3.381622255633971,2.060669752574428,3294.792528056628,4140.721565420517,845.9290373638896,-25.674728534814456,1
