method,replanning_interval_s,attempts,deadline_hits,deadline_misses,deadline_hit_rate,mean_single_replan_s,max_single_replan_s
proposed,300.0,93,93,0,1.0,62.97372209031,149.14559129998088
nn,300.0,80,80,0,1.0,6.665087036251498,11.150438799988478
aco,300.0,97,97,0,1.0,67.48434770205682,229.44090979988687
pso,300.0,93,62,31,0.6666666666666666,207.10063779246568,819.3943649000721
ga,300.0,75,41,34,0.5466666666666666,352.5271429973375,1256.8711062000366
