baseline,n,proposed_minus_baseline_kwh_mean,proposed_minus_baseline_kwh_std,proposed_minus_baseline_kwh_min,proposed_minus_baseline_kwh_max,proposed_reduction_pct_mean,proposed_reduction_pct_std,proposed_reduction_pct_min,proposed_reduction_pct_max,proposed_win_mean,proposed_win_std,proposed_win_min,proposed_win_max
nn,10,-38.597072653769004,25.47321879881346,-72.14681417871125,13.172414023159206,18.64087632007808,12.211105034235251,-8.345486754241291,33.38946025839913,0.9,0.31622776601683794,0,1
aco,10,-0.8851047190941728,10.106449831393615,-19.39771219052065,16.17634183230922,0.46607136644913794,6.206149984377173,-10.487975139811963,11.151862978575194,0.5,0.5270462766947299,0,1
pso,10,-21.72453275321988,19.635658348610328,-51.76622638018529,7.966720151126481,11.440351259457183,10.277152415615648,-4.980050048010687,26.45236500800966,0.8,0.4216370213557839,0,1
ga,10,-26.390359664241725,16.5514255639949,-51.0799647814452,8.265130802502256,13.861897545226032,8.541651801142043,-5.078544399600733,25.311657324107834,0.9,0.31622776601683794,0,1
