traffic_seed,method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
2026,aco,adaptive,54,152.23428131621876,3778.24093958136,722.457891199505,152.23428131621876,3778.24093958136,141.99315669928288,True,31.84011709992774,0.0,20,7,10,2,74,2042,690.6177740995772,3778.24093958136,152.23428131621876,0.0362389813907933,4.19685735544715,4.221601561675965,4.19685735544715
2026,aco,static_frozen,47,158.94427532555702,3159.42681774875,31.84011709992774,158.94427532555702,3159.42681774875,141.54563660314608,True,31.84011709992774,0.0,0,0,0,0,164,1517,0.0,3159.42681774875,158.94427532555702,0.1081081081081081,0.0,0.0,0.0
2026,aco,static_live,47,158.90322291517694,3159.42681774875,31.84011709992774,158.90322291517694,3159.42681774875,141.54563660314608,True,31.84011709992774,0.0,0,0,0,0,162,1521,0.0,3159.42681774875,158.90322291517694,0.1065088757396449,0.0,0.0,0.0
2026,ga,adaptive,44,177.49800966225993,2851.4850600056634,3153.337554199737,177.49800966225993,2851.4850600056634,130.81769270957753,True,25.74775079998653,0.0,30,14,8,4,155,2066,3127.589803399751,2851.4850600056634,177.49800966225993,0.0750242013552758,0.6500637606343803,0.6500637606343803,0.6500637606343803
2026,ga,static_frozen,43,178.6594097399426,3083.078422568936,25.74775079998653,178.6594097399426,3083.078422568936,136.74647072178504,True,25.74775079998653,0.0,0,0,0,0,168,1897,0.0,3083.078422568936,178.6594097399426,0.088560885608856,0.0,0.0,0.0
2026,ga,static_live,43,178.6594097399426,3083.078422568936,25.74775079998653,178.6594097399426,3083.078422568936,136.74647072178504,True,25.74775079998653,0.0,0,0,0,0,168,1897,0.0,3083.078422568936,178.6594097399426,0.088560885608856,0.0,0.0,0.0
2026,nn,adaptive,43,216.07661106340493,3109.667955410056,59.82110129995272,216.07661106340493,3109.667955410056,144.66872154814394,True,10.21008449990768,0.0,35,6,8,3,229,2335,49.61101680004504,3109.667955410056,216.07661106340493,0.0980728051391863,5.632578925970045,6.852699449337611,5.632578925970045
2026,nn,static_frozen,40,231.9730252900693,2966.068933324857,10.21008449990768,231.9730252900693,2966.068933324857,134.9236571956268,True,10.21008449990768,0.0,0,0,0,0,271,2178,0.0,2966.068933324857,231.9730252900693,0.1244260789715335,0.0,0.0,0.0
2026,nn,static_live,40,228.9737375506911,2948.493475462956,10.21008449990768,228.9737375506911,2948.493475462956,134.9236571956268,True,10.21008449990768,0.0,0,0,0,0,245,2210,0.0,2948.493475462956,228.9737375506911,0.1108597285067873,0.0,0.0,0.0
2026,proposed,adaptive,49,143.92979688469367,3030.624239135442,1652.1258361999644,143.92979688469367,3030.624239135442,134.3437330729469,True,1139.5955789000727,0.0,5,4,9,2,147,1517,512.5302572998917,3030.624239135442,143.92979688469367,0.096901779828609,0.0075737353685912,0.0075737353686307,0.0075737353685912
2026,proposed,static_frozen,49,143.9406985722913,3030.624239135442,1139.5955789000727,143.9406985722913,3030.624239135442,134.3437330729469,True,1139.5955789000727,0.0,0,0,0,0,147,1517,0.0,3030.624239135442,143.9406985722913,0.096901779828609,0.0,0.0,0.0
2026,proposed,static_live,49,143.94069857229124,3030.624239135442,1139.5955789000727,143.94069857229124,3030.624239135442,134.3437330729469,True,1139.5955789000727,0.0,0,0,0,0,147,1517,0.0,3030.624239135442,143.94069857229124,0.096901779828609,0.0,0.0,0.0
2026,pso,adaptive,47,195.69602326487896,3344.308906141169,2045.8296891998036,195.69602326487896,3344.308906141169,133.02418012754706,True,21.334564200020395,0.0,57,10,9,3,208,1901,2024.495124999783,3344.308906141169,195.69602326487896,0.1094160967911625,8.681813527785351,10.003910150661758,8.681813527785351
2026,pso,static_frozen,43,217.44947318543743,2970.378768022388,21.334564200020395,217.44947318543743,2970.378768022388,133.50089128069962,True,21.334564200020395,0.0,0,0,0,0,255,1871,0.0,2970.378768022388,217.44947318543743,0.1362907536076964,0.0,0.0,0.0
2026,pso,static_live,43,214.30125895505307,3011.628756739801,21.334564200020395,214.30125895505307,3011.628756739801,133.50089128069962,True,21.334564200020395,0.0,0,0,0,0,226,1900,0.0,3011.628756739801,214.30125895505307,0.1189473684210526,0.0,0.0,0.0
2027,aco,adaptive,62,160.72144430363664,4140.721565420517,740.5064095996786,160.72144430363664,4140.721565420517,150.97302881930722,True,31.84011709992774,0.0,27,9,12,3,97,1981,708.6662924997509,4140.721565420517,160.72144430363664,0.0489651691065118,2.060669752574428,9.417804690903957,2.060669752574428
2027,aco,static_frozen,47,177.43160645996994,3190.9922334700973,31.84011709992774,177.43160645996994,3190.9922334700973,131.9991441810519,True,31.84011709992774,0.0,0,0,0,0,276,1517,0.0,3190.9922334700973,177.43160645996994,0.1819380355965721,0.0,0.0,0.0
2027,aco,static_live,48,164.10306655927062,3294.792528056628,31.84011709992774,164.10306655927062,3294.792528056628,140.74085597007462,True,31.84011709992774,0.0,0,0,0,0,214,1538,0.0,3294.792528056628,164.10306655927062,0.1391417425227568,0.0,0.0,0.0
2027,ga,adaptive,40,201.8041099694985,2808.1862620092807,2733.195943400148,201.8041099694985,2808.1862620092807,135.26109533850092,True,25.74775079998653,0.0,26,5,7,2,181,2142,2707.448192600161,2808.1862620092807,201.8041099694985,0.084500466853408,-8.676864081488702,0.7018301833830811,-8.676864081488702
2027,ga,static_frozen,46,203.23044255718787,3258.1305933929943,25.74775079998653,203.23044255718787,3258.1305933929943,138.37702365281606,True,25.74775079998653,0.0,0,0,0,0,271,1897,0.0,3258.1305933929943,203.23044255718787,0.1428571428571428,0.0,0.0,0.0
2027,ga,static_live,48,185.69187809668543,3396.8712513392397,25.74775079998653,185.69187809668543,3396.8712513392397,138.7543786503474,True,25.74775079998653,0.0,0,0,0,0,201,2005,0.0,3396.8712513392397,185.69187809668543,0.1002493765586035,0.0,0.0,0.0
2027,nn,adaptive,40,208.93201478101577,2945.1497126983318,53.81299890019,208.93201478101577,2945.1497126983318,139.4083777313933,True,10.21008449990768,0.0,37,5,7,2,181,2330,43.60291440028232,2945.1497126983318,208.93201478101577,0.0776824034334763,9.85188747429344,20.896097415243744,9.85188747429344
2027,nn,static_frozen,40,264.1235235608693,2959.9147331863123,10.21008449990768,264.1235235608693,2959.9147331863123,135.90255272621803,True,10.21008449990768,0.0,0,0,0,0,425,2178,0.0,2959.9147331863123,264.1235235608693,0.1951331496786042,0.0,0.0,0.0
2027,nn,static_live,44,231.7652682095112,3213.723023739344,10.21008449990768,231.7652682095112,3213.723023739344,136.9535399143934,True,10.21008449990768,0.0,0,0,0,0,226,2465,0.0,3213.723023739344,231.7652682095112,0.091683569979716,0.0,0.0,0.0
2027,proposed,adaptive,56,150.7241451880533,3651.802905002842,1772.8797563997796,150.7241451880533,3651.802905002842,137.5889158144563,True,1139.5955789000727,0.0,10,4,10,1,96,1655,633.2841774997069,3651.802905002842,150.7241451880533,0.0580060422960725,0.2495190354334668,9.004270624233381,0.2495190354334668
2027,proposed,static_frozen,50,165.638702191878,3095.706838548585,1139.5955789000727,165.638702191878,3095.706838548585,125.45668777739527,True,1139.5955789000727,0.0,0,0,0,0,238,1517,0.0,3095.706838548585,165.638702191878,0.1568885959129861,0.0,0.0,0.0
2027,proposed,static_live,53,151.10117137339287,3306.579365354469,1139.5955789000727,151.10117137339287,3306.579365354469,135.44529714777022,True,1139.5955789000727,0.0,0,0,0,0,199,1572,0.0,3306.579365354469,151.10117137339287,0.126590330788804,0.0,0.0,0.0
