traffic_seed,method,policy,epoch,elapsed_s,elapsed_min,replan_epoch,traffic_state,traffic_change,center_bins,affected_edges,peak_tt_multiplier,speed_multiplier,recovery_progress,network_speed_kmh,sim_hour,remaining_bins_before,served_bins_epoch,remaining_bins_after,epoch_energy_kwh,epoch_energy_per_served_bin_kwh,cumulative_energy_kwh,epoch_operating_s,cumulative_operating_s,oracle_runtime_s,solver_runtime_s,planning_runtime_s,cumulative_planning_runtime_s,compute_wait_aux_energy_kwh,cumulative_compute_wait_aux_energy_kwh,latency_adjusted_energy_kwh,latency_adjusted_time_s,planned_remaining_energy_kwh,planned_remaining_makespan_s,incumbent_plan_energy_kwh,candidate_plan_energy_kwh,candidate_energy_improvement_kwh,replan_attempted,replan_accepted,acceptance_reason,candidate_next_choice_changes,candidate_reassigned_bins,next_choice_changes,reassigned_bins,traversed_edges,disrupted_edges_traversed,disrupted_edge_share,min_battery_kwh,max_payload_kg,returned_to_depot,converged,rounds,replanned,active_planning_vehicles,vehicles_still_requiring_first_service
2026,proposed,adaptive,10,600.0,10.0,2,degrading,degrading,2 14 53 69,0,1.0,1.0,0.0,34.78037077224997,18.166666666666668,65,1,64,2.264359248722955,2.264359248722955,51.26372903641793,60.0,660.0,5.64999645575881e-05,69.97081489989068,69.97087139985524,1355.9859328999885,0.0,0.0,51.26372903641793,660.0,75.37762181306357,2157.509480549697,75.37762181306357,80.01441057614328,-4.636788763079707,True,False,incumbent_not_worse,4,25,0,0,29,0,0.0,171.29011539682318,574.0,False,True,22.0,True,7,0
2026,proposed,adaptive,11,660.0,11.0,2,degrading,degrading,2 14 53 69,1687,1.06951871657754,0.935,0.0,34.631729320613424,18.183333333333334,64,2,62,3.183756177272239,1.5918780886361197,54.447485213690165,60.0,720.0,0.0,0.0,0.0,1355.9859328999885,0.0,0.0,54.447485213690165,720.0,76.0898888926972,2036.887079171148,,,,False,False,not_attempted,0,0,0,0,40,7,0.175,171.19678206348985,700.0,False,,,False,7,0
2026,proposed,adaptive,12,720.0,12.0,2,degrading,degrading,2 14 53 69,1687,1.1494252873563218,0.87,0.0,34.46243886002531,18.2,62,3,59,3.692225693887789,1.2307418979625964,58.13971090757796,60.0,780.0,0.0,0.0,0.0,1355.9859328999885,0.0,0.0,58.13971090757796,780.0,76.36279196230426,2062.7340282675214,,,,False,False,not_attempted,0,0,0,0,39,12,0.3076923076923077,169.8415741960272,791.0,False,,,False,7,0
2026,proposed,adaptive,13,780.0,13.0,2,degrading,degrading,2 14 53 69,1687,1.2422360248447206,0.8049999999999999,0.0,34.26787542813574,18.216666666666665,59,1,58,3.578029591587985,3.578029591587985,61.71774049916594,60.0,840.0,0.0,0.0,0.0,1355.9859328999885,0.0,0.0,61.71774049916594,840.0,76.3441028607474,2065.5525445564285,,,,False,False,not_attempted,0,0,0,0,47,1,0.0212765957446808,168.29980073427532,791.0,False,,,False,7,0
2026,proposed,adaptive,14,840.0,14.0,2,degrading,degrading,2 14 53 69,1687,1.351351351351351,0.74,0.0,34.04192309575753,18.23333333333333,58,2,56,1.9330597696140623,0.9665298848070312,63.65080026878,60.0,900.0,0.0,0.0,0.0,1355.9859328999885,0.0,0.0,63.65080026878,900.0,77.5577692330422,2040.5397028011728,,,,False,False,not_attempted,0,0,0,0,44,0,0.0,167.76734229199656,848.0,False,,,False,7,0
2026,proposed,adaptive,15,900.0,15.0,3,degrading,degrading,2 14 53 69,1687,1.4814814814814814,0.675,0.0,33.77631942075436,18.25,56,2,54,1.731732878878158,0.865866439439079,65.38253314765817,60.0,960.0,9.108768100035377,90.31043129996397,99.41919939999934,1455.4051322999876,0.0,0.0,65.38253314765817,960.0,81.0607004035029,1938.372941425294,81.0607004035029,93.84236713402342,-12.781666730520511,True,False,incumbent_not_worse,5,26,0,0,32,0,0.0,167.67400895866322,848.0,False,True,24.0,True,7,0
2026,proposed,adaptive,16,960.0,16.0,3,degrading,degrading,2 14 53 69,1687,1.639344262295082,0.61,0.0,33.459623168665104,18.266666666666666,54,2,52,2.023576360677992,1.011788180338996,67.40610950833616,60.0,1020.0,0.0,0.0,0.0,1455.4051322999876,0.0,0.0,67.40610950833616,1020.0,85.84308417715815,1985.7737354488725,,,,False,False,not_attempted,0,0,0,0,28,0,0.0,166.70932925852756,907.0,False,,,False,7,0
2026,proposed,adaptive,17,1020.0,17.0,3,degrading,degrading,2 14 53 69,1687,1.8348623853211008,0.545,0.0,33.07552291825965,18.28333333333333,52,4,48,3.8694912169639135,0.9673728042409786,71.27560072530007,60.0,1080.0,0.0,0.0,0.0,1455.4051322999876,0.0,0.0,71.27560072530007,1080.0,92.3731057470332,2001.4067228729637,,,,False,False,not_attempted,0,0,0,0,43,0,0.0,166.07354639591406,930.0,False,,,False,7,0
2026,proposed,adaptive,18,1080.0,18.0,3,degrading,degrading,2 14 53 69,1687,2.083333333333333,0.48,0.0,32.59993709044963,18.3,48,1,47,2.4890821291851597,2.4890821291851597,73.76468285448523,60.0,1140.0,0.0,0.0,0.0,1455.4051322999876,0.0,0.0,73.76468285448523,1140.0,98.85878094145929,1939.297283039435,,,,False,False,not_attempted,0,0,0,0,33,0,0.0,165.98021306258073,930.0,False,,,False,7,0
2026,proposed,adaptive,19,1140.0,19.0,3,degrading,degrading,2 14 53 69,1687,2.409638554216868,0.4149999999999999,0.0,31.99576168213025,18.316666666666663,47,2,45,1.682567506082261,0.8412837530411303,75.4472503605675,60.0,1200.0,0.0,0.0,0.0,1455.4051322999876,0.0,0.0,75.4472503605675,1200.0,109.86161071780248,2037.2755809270277,,,,False,False,not_attempted,0,0,0,0,7,0,0.0,165.3607930951204,988.0,False,,,False,7,0
