method,policy,epoch,elapsed_min,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max
aco,adaptive,11,11.0,10,56.74795344012017,0.03694503623785959,56.70959216876123,56.81740084646847,720.0,0.0,720.0,720.0,389.99901384988334,2.6347472831426333,386.6269457999151,396.0465285998071,56.74795344012017,0.03694503623785959,56.70959216876123,56.81740084646847
aco,adaptive,12,12.0,10,59.06673802930525,0.1362796806362767,58.792998136994605,59.22706373294715,780.0,0.0,780.0,780.0,389.99901384988334,2.6347472831426333,386.6269457999151,396.0465285998071,59.06673802930525,0.1362796806362767,58.792998136994605,59.22706373294715
aco,adaptive,13,13.0,10,60.96086413875305,0.19268124621376576,60.549349122436,61.19904201197824,840.0,0.0,840.0,840.0,389.99901384988334,2.6347472831426333,386.6269457999151,396.0465285998071,60.96086413875305,0.19268124621376576,60.549349122436,61.19904201197824
aco,adaptive,14,14.0,10,62.607043988955226,0.26195761324975486,62.16605069573129,62.98594375226432,900.0,0.0,900.0,900.0,389.99901384988334,2.6347472831426333,386.6269457999151,396.0465285998071,62.607043988955226,0.26195761324975486,62.16605069573129,62.98594375226432
aco,adaptive,15,15.0,10,63.93666935978697,0.6506410638134894,63.06162173720701,65.52324991529709,960.0,0.0,960.0,960.0,499.38032605990304,7.600678894289655,490.0219699998852,518.9216026997892,63.93666935978697,0.6506410638134894,63.06162173720701,65.52324991529709
aco,adaptive,16,16.0,10,67.26324127235151,1.166143874511873,65.86746434316974,69.93474742555806,1020.0,0.0,1020.0,1020.0,499.38032605990304,7.600678894289655,490.0219699998852,518.9216026997892,67.26324127235151,1.166143874511873,65.86746434316974,69.93474742555806
aco,adaptive,17,17.0,10,72.54757522488785,1.6306729619147333,70.40755362421662,75.04506126182244,1080.0,0.0,1080.0,1080.0,499.38032605990304,7.600678894289655,490.0219699998852,518.9216026997892,72.54757522488785,1.6306729619147333,70.40755362421662,75.04506126182244
aco,adaptive,18,18.0,10,75.86196304239488,1.7087545291451993,73.51138432351061,78.83808207896465,1140.0,0.0,1140.0,1140.0,499.38032605990304,7.600678894289655,490.0219699998852,518.9216026997892,75.86196304239488,1.7087545291451993,73.51138432351061,78.83808207896465
aco,adaptive,19,19.0,10,79.13560885219016,2.646037568645838,75.76610867432406,84.37443068488163,1200.0,0.0,1200.0,1200.0,499.38032605990304,7.600678894289655,490.0219699998852,518.9216026997892,79.13560885219016,2.646037568645838,75.76610867432406,84.37443068488163
aco,adaptive,20,20.0,10,82.70695167320261,3.9334793435224285,78.40987545136838,90.64814344093976,1260.0,0.0,1260.0,1260.0,590.6169252398889,11.157618148939296,570.2454947998049,607.7169390998315,82.70695167320261,3.9334793435224285,78.40987545136838,90.64814344093976
aco,adaptive,21,21.0,10,85.15119061855029,4.894426913589623,79.91768944822029,94.72258373311648,1320.0,0.0,1320.0,1320.0,590.6169252398889,11.157618148939296,570.2454947998049,607.7169390998315,85.15119061855029,4.894426913589623,79.91768944822029,94.72258373311648
aco,adaptive,22,22.0,10,87.8856562835395,4.452307019432376,83.82952310116178,96.31906215514957,1380.0,0.0,1380.0,1380.0,590.6169252398889,11.157618148939296,570.2454947998049,607.7169390998315,87.8856562835395,4.452307019432376,83.82952310116178,96.31906215514957
aco,adaptive,23,23.0,10,91.09686852870836,5.483782641977475,85.69430340930815,102.515574946792,1440.0,0.0,1440.0,1440.0,590.6169252398889,11.157618148939296,570.2454947998049,607.7169390998315,91.09686852870836,5.483782641977475,85.69430340930815,102.515574946792
aco,adaptive,24,24.0,10,93.47766514694914,6.12448704704219,87.73486752063313,104.91510568582532,1500.0,0.0,1500.0,1500.0,590.6169252398889,11.157618148939296,570.2454947998049,607.7169390998315,93.47766514694914,6.12448704704219,87.73486752063313,104.91510568582532
aco,adaptive,25,25.0,10,95.83995760056192,5.347943991518978,91.6183001347703,105.97747635909052,1560.0,0.0,1560.0,1560.0,622.4438376698643,11.864488557527691,600.3367386998143,638.5865404997021,95.83995760056192,5.347943991518978,91.6183001347703,105.97747635909052
aco,adaptive,26,26.0,10,98.85419609421524,4.822269622200416,94.58567988946145,108.57950956150904,1620.0,0.0,1620.0,1620.0,622.4438376698643,11.864488557527691,600.3367386998143,638.5865404997021,98.85419609421524,4.822269622200416,94.58567988946145,108.57950956150904
aco,adaptive,27,27.0,10,102.1155666609084,4.945894993393872,96.35511353777508,111.95065585427936,1680.0,0.0,1680.0,1680.0,622.4438376698643,11.864488557527691,600.3367386998143,638.5865404997021,102.1155666609084,4.945894993393872,96.35511353777508,111.95065585427936
aco,adaptive,28,28.0,10,105.12326639219108,5.2874063795095525,100.65182358337329,116.6650109127384,1740.0,0.0,1740.0,1740.0,622.4438376698643,11.864488557527691,600.3367386998143,638.5865404997021,105.12326639219108,5.2874063795095525,100.65182358337329,116.6650109127384
aco,adaptive,29,29.0,10,107.46384245304803,5.3791241493052055,101.69585716751868,118.8367443669717,1800.0,0.0,1800.0,1800.0,622.4438376698643,11.864488557527691,600.3367386998143,638.5865404997021,107.46384245304803,5.3791241493052055,101.69585716751868,118.8367443669717
aco,adaptive,30,30.0,10,110.49129458685479,5.94838624395146,103.85552821008064,120.15961903616925,1860.0,0.0,1860.0,1860.0,637.3077860698337,15.673503289689684,611.1319851997541,660.2685438998742,110.49129458685479,5.94838624395146,103.85552821008064,120.15961903616925
aco,adaptive,31,31.0,10,112.70819457767456,6.327947873524123,105.12774313727944,123.32587805630668,1920.0,0.0,1920.0,1920.0,637.3077860698337,15.673503289689684,611.1319851997541,660.2685438998742,112.70819457767456,6.327947873524123,105.12774313727944,123.32587805630668
aco,adaptive,32,32.0,10,114.76186870860928,6.574398580050305,106.10039538119564,125.28069700602953,1980.0,0.0,1980.0,1980.0,637.3077860698337,15.673503289689684,611.1319851997541,660.2685438998742,114.76186870860928,6.574398580050305,106.10039538119564,125.28069700602953
aco,adaptive,33,33.0,10,117.52553142196741,7.747082230978445,107.04740208127242,131.80718424002026,2040.0,0.0,2040.0,2040.0,637.3077860698337,15.673503289689684,611.1319851997541,660.2685438998742,117.52553142196741,7.747082230978445,107.04740208127242,131.80718424002026
aco,adaptive,34,34.0,10,119.58257981184163,8.457606009928519,110.50786286085985,136.90415759035838,2100.0,0.0,2100.0,2100.0,637.3077860698337,15.673503289689684,611.1319851997541,660.2685438998742,119.58257981184163,8.457606009928519,110.50786286085985,136.90415759035838
aco,adaptive,35,35.0,10,121.23828692879746,8.239498862291713,112.30766110244174,137.5816589164842,2160.0,0.0,2160.0,2160.0,654.7835200298462,19.438936023270383,623.8215197998798,682.8005677998299,121.23828692879746,8.239498862291713,112.30766110244174,137.5816589164842
aco,adaptive,36,36.0,10,122.86351977560734,8.595055390322436,112.98718300119005,140.31566981103344,2220.0,0.0,2220.0,2220.0,654.7835200298462,19.438936023270383,623.8215197998798,682.8005677998299,122.86351977560734,8.595055390322436,112.98718300119005,140.31566981103344
aco,adaptive,37,37.0,10,124.20504467066023,8.56397555584045,113.51439685729966,141.10810342161906,2280.0,0.0,2280.0,2280.0,654.7835200298462,19.438936023270383,623.8215197998798,682.8005677998299,124.20504467066023,8.56397555584045,113.51439685729966,141.10810342161906
aco,adaptive,38,38.0,10,125.36634233660922,8.643690381202923,115.22274647947276,141.7146382037109,2340.0,0.0,2340.0,2340.0,654.7835200298462,19.438936023270383,623.8215197998798,682.8005677998299,125.36634233660922,8.643690381202923,115.22274647947276,141.7146382037109
aco,adaptive,39,39.0,10,126.61542474349365,9.045506080243584,116.56897124939302,144.80458690393155,2400.0,0.0,2400.0,2400.0,654.7835200298462,19.438936023270383,623.8215197998798,682.8005677998299,126.61542474349365,9.045506080243584,116.56897124939302,144.80458690393155
aco,adaptive,40,40.0,10,127.90761663545668,8.87057831724115,117.63626170652032,145.43263143337194,2460.0,0.0,2460.0,2460.0,667.8284145498649,21.215631164226508,634.9117691998836,699.8868484997656,127.90761663545668,8.87057831724115,117.63626170652032,145.43263143337194
aco,adaptive,41,41.0,10,129.06978300452005,8.855155711149822,119.0373283827345,145.70844705146897,2520.0,0.0,2520.0,2520.0,667.8284145498649,21.215631164226508,634.9117691998836,699.8868484997656,129.06978300452005,8.855155711149822,119.0373283827345,145.70844705146897
aco,adaptive,42,42.0,10,130.11928353622116,8.264321616054351,120.0096549648095,145.80425412177038,2580.0,0.0,2580.0,2580.0,667.8284145498649,21.215631164226508,634.9117691998836,699.8868484997656,130.11928353622116,8.264321616054351,120.0096549648095,145.80425412177038
aco,adaptive,43,43.0,10,131.47764791894883,8.02433119689294,121.2250276915998,146.28980616083567,2640.0,0.0,2640.0,2640.0,667.8284145498649,21.215631164226508,634.9117691998836,699.8868484997656,131.47764791894883,8.02433119689294,121.2250276915998,146.28980616083567
aco,adaptive,44,44.0,10,132.45531825056963,7.379848065032435,121.77373746021128,146.383139494169,2700.0,0.0,2700.0,2700.0,667.8284145498649,21.215631164226508,634.9117691998836,699.8868484997656,132.45531825056963,7.379848065032435,121.77373746021128,146.383139494169
aco,adaptive,45,45.0,10,138.64650328530627,13.278025598802696,121.8670707935446,162.81401500174945,2831.263442680687,160.91777972287102,2760.0,3238.6112360911834,676.210129729868,25.213756898172267,634.9117691998836,712.6924132996937,138.64650328530627,13.278025598802696,121.8670707935446,162.81401500174945
aco,adaptive,46,46.0,10,142.08435744517047,11.850994767143321,125.99772052173569,162.81401500174945,2925.32259954273,184.6123660323319,2820.0,3280.591568620428,676.210129729868,25.213756898172267,634.9117691998836,712.6924132996937,142.08435744517047,11.850994767143321,125.99772052173569,162.81401500174945
aco,adaptive,47,47.0,10,142.62000147915984,11.298731174754721,127.86221500858832,162.81401500174945,2967.32259954273,158.40333456528268,2880.0,3280.591568620428,676.210129729868,25.213756898172267,634.9117691998836,712.6924132996937,142.62000147915984,11.298731174754721,127.86221500858832,162.81401500174945
aco,adaptive,48,48.0,10,147.7100095958234,16.01006839604774,127.95554834192166,173.94145021138863,3095.610434529691,194.7289732517183,2940.0,3410.4975616848183,676.210129729868,25.213756898172267,634.9117691998836,712.6924132996937,147.7100095958234,16.01006839604774,127.95554834192166,173.94145021138863
aco,adaptive,49,49.0,10,147.9585278547471,15.776206367039528,128.19534790593286,173.94145021138863,3125.610434529691,168.95367428683636,2994.023190715688,3410.4975616848183,676.210129729868,25.213756898172267,634.9117691998836,712.6924132996937,147.9585278547471,15.776206367039528,128.19534790593286,173.94145021138863
aco,adaptive,50,50.0,10,148.185375777734,15.525381309637059,129.1833224884981,173.94145021138863,3155.610434529691,145.50366004460622,2994.023190715688,3410.4975616848183,681.9759328798857,30.542803858657646,634.9117691998836,724.1269857996376,148.185375777734,15.525381309637059,129.1833224884981,173.94145021138863
aco,adaptive,51,51.0,10,148.31209626911425,15.421533605374723,129.27665582183144,173.94145021138863,3185.610434529691,125.68725519212474,2994.023190715688,3410.4975616848183,681.9759328798857,30.542803858657646,634.9117691998836,724.1269857996376,148.31209626911425,15.421533605374723,129.27665582183144,173.94145021138863
