,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0,770.5240667,189.6803839,166.7595056,424.8635187,854.1754506,1109.350117,185.8384791,847.4549566,1182.121886,1341.475685,1452.241578,1740.903796,1409.13025,1048.986684,688.3551379,869.7742194,1192.228077,1197.141878,1088.592505,1341.264333,1007.811186,2161.302998,1118.479645,2633.569678,2826.311905,1575.44142,1721.180135,1030.086807,1279.721916,841.2769662,2684.937832,1578.466666,1341.255665,2311.517423,1741.296649,2218.337621,1473.960382,1433.435949,1578.849432,2262.173441,3389.598196,2433.979171,2568.86429,3335.017906,1842.819223,3155.729141,3088.553964,3480.599732,2018.337659,2388.806054,2195.984921,2314.043046,1976.4447,2787.898006,3141.804932,4202.801372,2187.626693,3065.265138,3248.906865,2006.081142,4061.403287,4169.288981,3485.635974,2339.235978,2535.867199,3092.062672,3242.606475,2446.893225,2384.400152,2231.709807,2819.569464,2503.252353,2793.571621,2970.791673,3228.570856,3698.084784,3750.547515,3361.568467,3769.450073,3113.787388,3025.381018,4426.120097,4589.026864
1,770.5240667,0,960.2044507,603.7645611,345.660548,728.6552511,962.2093576,883.58353,1617.979023,411.5978188,570.951618,1287.634508,970.3797289,2179.654317,1819.510751,1458.879205,1608.761541,1962.752144,1894.886929,1190.91074,2039.009383,237.2871197,1996.695928,886.9158739,1863.045612,2055.787839,987.042683,1132.781399,1727.831858,2050.245982,1539.022017,2123.774823,2348.990732,2111.779732,2146.910353,2511.820716,2988.861687,2171.705433,2200.196095,2349.373499,2097.566372,2619.074129,2269.372101,3339.388357,2564.493839,1072.295156,2385.205074,2527.390955,2710.075665,2788.861726,3159.330121,2966.508988,3084.567113,2746.968767,3558.422073,2770.425412,3432.277305,2950.982682,2633.135425,2687.743856,2703.826193,3290.879221,3398.764915,3321.028905,3036.981029,3233.612249,3862.586739,4013.130542,3217.417292,3154.924219,3002.233874,3590.093531,3273.77642,3564.095688,3734.147662,3991.926846,4395.829835,4521.071581,4132.092534,4539.97414,3870.909311,3795.905085,5196.644164,5359.550931
2,189.6803839,960.2044507,0,356.4398895,614.5439026,1043.855835,1299.030501,375.518863,657.7745727,1371.802269,1531.156069,1641.921962,1930.58418,1219.449866,859.3062999,498.674754,680.0938355,1002.547693,1386.822262,1278.272889,1530.944717,1197.49157,2350.983382,1308.160029,2823.250062,3015.992289,1765.121804,1910.860519,1219.767191,1090.041532,1030.95735,2874.618216,1388.786282,1151.575281,2501.197806,1551.616265,2028.657237,1663.640766,1243.755565,1389.169048,2451.853825,3579.27858,2623.659555,2379.183906,3524.69829,2032.499606,3345.409525,3278.234347,3670.280115,1828.657275,2199.125671,2006.304537,2124.362662,1786.764316,2598.217622,3331.485316,4392.481756,1997.946309,3254.945522,3438.587249,2021.534081,4251.083671,4358.969365,3675.316358,2460.666252,2603.672445,2902.382288,3052.926091,2257.212841,2194.719769,2042.029424,2629.88908,2313.571969,2603.891237,2781.111289,3038.890473,3765.89003,3560.867131,3171.888083,3579.769689,2924.107005,2835.700634,4236.439713,4399.34648
3,166.7595056,603.7645611,356.4398895,0,258.1040131,985.635737,1240.810403,317.2987655,1014.214462,1015.36238,1174.716179,1583.701864,1574.14429,1575.889756,1215.746189,855.1146435,1036.533725,1358.987583,1328.602164,1220.052791,1472.724619,841.0516808,2292.763284,1172.47408,2466.810173,2659.5524,1408.681914,1554.42063,1161.547093,1446.481421,972.7372526,2727.539384,1745.226171,1508.015171,2442.977709,1908.056155,2385.097126,1605.420668,1600.195454,1745.608937,2393.633727,3222.83869,2565.439457,2735.623795,3168.2584,1676.059717,2988.969635,3131.155516,3313.840226,2185.097165,2555.56556,2362.744427,2480.802552,2143.204205,2954.657512,3273.265218,4036.041867,2354.386199,3196.725424,3291.508417,2137.541429,3894.643782,4002.529476,3617.096261,2470.696265,2667.327485,3258.822177,3409.365981,2613.652731,2551.159658,2398.469313,2986.32897,2670.011858,2960.331127,3137.551178,3395.330362,3829.54507,3917.30702,3528.327972,3936.209579,3280.546894,3192.140524,4592.879603,4755.78637
4,424.8635187,345.660548,614.5439026,258.1040131,0,922.3626732,1155.91678,575.4027786,1272.318475,757.2583668,916.612166,1498.808241,1316.040277,1833.993769,1473.850203,1113.218657,1294.637738,1617.091596,1586.706177,1384.618162,1730.828632,582.9476677,2207.869661,919.5437812,2208.70616,2401.448387,1150.577901,1296.316617,1419.651106,1704.585434,1230.841266,2469.435371,2003.330184,1766.119184,2358.084086,2166.160168,2643.201139,1863.524681,1858.299468,2003.712951,2308.740104,2964.734677,2480.545834,2993.727809,2910.154387,1417.955704,2730.865622,2873.051503,3055.736213,2443.201178,2813.669573,2620.84844,2738.906565,2401.308218,3212.761525,3116.08596,3777.937853,2612.490212,2978.795973,3033.404404,2395.645442,3636.539769,3744.425463,3532.202637,2728.800278,2925.431498,3516.926191,3667.469994,2871.756744,2809.263671,2656.573326,3244.432983,2928.115872,3218.43514,3395.655191,3653.434375,4087.649083,4175.411033,3786.431986,4194.313592,3538.650907,3450.244537,4850.983616,5013.890383
5,854.1754506,728.6552511,1043.855835,985.635737,922.3626732,0,255.174666,725.4635357,1665.168606,1071.137474,1230.491273,598.066127,1629.919384,2226.843899,1866.700333,1461.09858,1519.34834,2009.941726,1687.150279,462.2554892,1831.272734,965.9423708,1307.127547,1463.617999,2522.585266,2641.489066,1601.017097,1746.755813,1520.095208,1988.531213,1272.286627,1830.762382,2396.180315,2099.740005,1457.341972,2559.010298,3057.83931,1963.968783,2110.782894,2337.333772,1407.99799,3042.009059,1579.80372,3408.36598,2987.428769,1800.950407,2737.309198,2234.378513,3133.010594,2823.992891,3206.519704,3001.640153,3131.756695,2747.70222,3627.399696,2287.629481,3855.212235,2743.246033,2211.089687,2394.731414,2496.089543,3713.81415,3713.834632,2631.460524,2829.244379,3025.8756,3897.717904,4048.261707,3205.377565,3069.429043,2916.738698,3625.224696,3188.281244,3604.233931,3526.411012,3784.190196,4188.093185,4556.202746,4120.052807,4527.934413,3798.816279,3731.956717,5184.604437,5347.511204
6,1109.350117,962.2093576,1299.030501,1240.810403,1155.91678,255.174666,0,980.6382017,1920.343272,882.5275421,1039.83123,342.891461,1439.259341,2482.018565,2121.874999,1716.273246,1774.523006,2265.116392,1942.324945,717.4301552,2086.4474,1033.440267,1051.952881,1697.172106,2331.925224,2386.3144,1688.800007,1834.538722,1775.269874,2243.705879,1527.461293,1575.587716,2651.354981,2354.914671,1202.167306,2814.184964,3313.013976,2219.143449,2365.95756,2592.508438,1152.823324,2786.834392,1324.629054,3663.540646,2732.254103,1618.199022,2482.134532,1979.203847,2877.835928,3079.167557,3461.69437,3256.814819,3386.931361,3002.876886,3882.574362,2032.454815,3600.037569,2998.420699,1955.915021,2139.556748,2751.264209,3458.639484,3458.659966,2376.285858,3084.419045,3281.050266,4152.89257,4303.436373,3460.552231,3324.603709,3171.913364,3880.399362,3443.45591,3859.408597,3781.585678,4039.364862,4443.267851,4811.377413,4375.227473,4783.109079,4053.990945,3987.131383,5439.779103,5602.68587
7,185.8384791,883.58353,375.518863,317.2987655,575.4027786,725.4635357,980.6382017,0,957.9718887,1295.181349,1454.535148,1323.529663,1853.963259,1519.647182,1159.503616,735.6350445,793.8848042,1302.745009,1011.303399,919.274996,1155.425853,1120.87065,2032.591083,1304.318124,2746.629141,2939.371369,1722.396525,1868.135241,844.2483278,1263.067677,671.9594576,2556.225917,1688.983598,1374.27647,2182.805508,1843.375262,2350.642593,1288.121903,1385.319358,1611.870236,2133.461526,3502.657659,2305.267256,2701.169263,3448.077369,1955.878686,3268.788604,2959.842049,3593.659195,2098.529355,2499.322987,2276.176617,2424.559978,2022.238684,2920.202979,3013.093017,4315.860835,2067.399152,2936.553223,3120.19495,1820.242663,4174.462751,4282.348444,3356.924059,2153.397499,2350.028719,3172.254368,3322.798172,2479.91403,2343.965508,2191.275163,2899.76116,2462.817708,2878.770395,2850.564132,3108.343316,3512.246305,3830.739211,3394.589271,3802.470878,3073.352744,3006.493181,4459.140902,4622.047668
8,847.4549566,1617.979023,657.7745727,1014.214462,1272.318475,1665.168606,1920.343272,957.9718887,0,2029.576842,2188.930641,2263.234733,2588.358752,561.6752937,201.5317272,982.1194734,1163.538555,344.7731206,1969.275287,1874.694144,2113.397742,1855.266143,2972.296153,1965.934602,3481.024635,3673.766862,2372.08901,2226.350294,1802.220216,1489.710633,1627.378606,3495.930987,731.0117091,1481.920091,3122.510578,893.8416927,1392.670705,2246.093792,1643.424666,1719.513858,3073.166596,4237.053152,3244.972326,1743.197374,4182.472862,2690.274179,4003.184097,3899.547119,4328.054688,1170.882702,1541.351098,1348.529964,1466.588089,1128.989743,1962.23109,3952.798087,5050.256329,2397.615411,3876.258293,4059.90002,2504.9788,4908.858244,5016.743938,4296.629129,2944.110971,3003.341546,2244.607715,2395.151519,2371.166389,2594.38887,2441.698525,1972.114507,2713.241071,1946.116665,3180.78039,3438.559574,4165.559131,2903.092558,3285.841631,3511.582273,3323.776106,3235.369736,3814.965498,3903.268172
9,1182.121886,411.5978188,1371.802269,1015.36238,757.2583668,1071.137474,882.5275421,1295.181349,2029.576842,0,159.3537992,953.6001982,558.7819101,2591.252136,2231.108569,1870.477023,2020.35936,2374.349963,2306.484747,1533.392963,2450.607202,253.0024548,1652.285349,1074.847949,1451.447793,1644.19002,854.9508157,1000.689531,2139.429677,2461.843801,1950.619836,1712.177004,2760.588551,2523.377551,1779.254723,2923.418535,3400.459506,2583.303252,2611.793914,2760.971317,1763.532062,2207.47631,1935.337791,3750.986175,2152.89602,737.7215905,1973.607255,2115.793136,2298.477846,3200.459544,3570.92794,3378.106806,3496.164931,3158.566585,3970.019892,2358.827593,3020.679487,3362.580501,2221.537606,2276.146037,3115.424012,2879.281402,2987.167096,2986.994595,3448.578848,3645.210068,4274.184557,4424.728361,3629.015111,3566.522038,3413.831693,4001.691349,3685.374238,3975.693507,4145.745481,4403.524665,4807.427653,4932.6694,4543.690352,4951.571959,4282.50713,4207.502904,5608.241983,5771.148749
