run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k7_h04_s7,aco,84,7,4,7,80.45362992805634,168.50662429599194,163.53959826372008,1179.5463700719436,27.213562700082548,24.258554300060496,3060.4387105854626,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k7_h04_s7,ga,84,7,4,7,85.6326799307113,167.7667600098984,160.48556609161176,1174.3673200692888,27.213562700082548,20.08722869993653,2682.412261366038,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k7_h04_s7,nn,84,7,4,7,96.42064903025596,166.22562156710632,161.97039920462413,1163.5793509697442,27.213562700082548,0.169012299971655,3076.4476786274704,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k7_h04_s7,proposed,84,7,4,7,73.04222454086185,169.5653964941626,164.49861951035322,1186.9577754591382,27.213562700082548,4155.609061700059,2691.204761782897,84,11700.0,7,True,True,True,True,True,False,64.0,True,11700.0,11700.0
pso_n84_k7_h04_s7,pso,84,7,4,7,94.31034511191426,166.5270935554408,162.00789064733385,1165.6896548880857,27.213562700082548,11.616672900039704,2974.504736300335,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
