method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,45,156.79983327692182,3238.6112360911834,654.5348759999033,156.79983327692182,3238.6112360911834,148.77636790339488,True,31.84011709992774,0.0,7,4,8,1,117,1634,622.6947588999756,3238.6112360911834,156.79983327692182,0.07160342717258263,2.2544626115397057,8.174823529349487,2.2544626115397057
aco,static_frozen,47,170.75908732616347,3157.502558947361,31.84011709992774,170.75908732616347,3157.502558947361,135.20492271109904,True,31.84011709992774,0.0,0,0,0,0,152,1517,0.0,3157.502558947361,170.75908732616347,0.1001977587343441,0.0,0.0,0.0
aco,static_live,48,160.41636013904957,3194.2415960964704,31.84011709992774,160.41636013904957,3194.2415960964704,142.97133496297002,True,31.84011709992774,0.0,0,0,0,0,123,1549,0.0,3194.2415960964704,160.41636013904957,0.07940606843124597,0.0,0.0,0.0
ga,adaptive,39,171.1129953558103,2885.0036696613743,2669.1488398002693,171.1129953558103,2885.0036696613743,148.35411161751426,True,25.747750799986534,0.0,9,5,7,2,124,1932,2643.401089000283,2885.0036696613743,171.1129953558103,0.06418219461697723,-0.33052149192858526,5.175239808705859,-0.33052149192858526
ga,static_frozen,42,180.45180922220797,3061.960214935573,25.747750799986534,180.45180922220797,3061.960214935573,138.66987793092497,True,25.747750799986534,0.0,0,0,0,0,178,1897,0.0,3061.960214935573,180.45180922220797,0.09383236689509752,0.0,0.0,0.0
ga,static_live,42,170.54929328716392,3061.960214935573,25.747750799986534,170.54929328716392,3061.960214935573,145.74728284215834,True,25.747750799986534,0.0,0,0,0,0,146,1932,0.0,3061.960214935573,170.54929328716392,0.07556935817805382,0.0,0.0,0.0
nn,adaptive,43,207.14715843766746,3080.946538640946,62.10928609967232,207.14715843766746,3080.946538640946,149.38282033598824,True,10.21008449990768,0.0,38,8,8,3,137,2261,51.89920159976464,3080.946538640946,207.14715843766746,0.06059265811587793,0.10966667864538726,8.868632700586309,0.10966667864538726
nn,static_frozen,42,227.3061017037985,3064.059508250027,10.21008449990768,227.3061017037985,3064.059508250027,136.5601050492327,True,10.21008449990768,0.0,0,0,0,0,314,2178,0.0,3064.059508250027,227.3061017037985,0.14416896235078053,0.0,0.0,0.0
nn,static_live,44,207.37457925108697,3161.90343869435,10.21008449990768,207.37457925108697,3161.90343869435,145.88509678993827,True,10.21008449990768,0.0,0,0,0,0,176,2244,0.0,3161.90343869435,207.37457925108697,0.0784313725490196,0.0,0.0,0.0
proposed,adaptive,53,157.17731782819584,3352.041482752965,1706.0351079995744,157.17731782819584,3352.041482752965,137.86681545035051,True,1139.5955789000727,0.0,6,3,10,1,112,1582,566.4395290995017,3352.041482752965,157.17731782819584,0.07079646017699115,-0.6202908455631442,7.0823074496403065,-0.6202908455631442
proposed,static_frozen,49,169.15757754424283,3043.9371842819164,1139.5955789000727,169.15757754424283,3043.9371842819164,129.88127501708723,True,1139.5955789000727,0.0,0,0,0,0,168,1517,0.0,3043.9371842819164,169.15757754424283,0.11074489123269611,0.0,0.0,0.0
proposed,static_live,53,156.20837159916297,3278.001190035196,1139.5955789000727,156.20837159916297,3278.001190035196,137.86681545035051,True,1139.5955789000727,0.0,0,0,0,0,133,1560,0.0,3278.001190035196,156.20837159916297,0.08525641025641026,0.0,0.0,0.0
pso,adaptive,53,168.78951948916017,3699.649537404388,1945.8434003001312,168.78951948916017,3699.649537404388,147.89209132957689,True,21.334564200020395,0.0,54,9,10,2,118,1901,1924.5088361001108,3699.649537404388,168.78951948916017,0.06207259337190952,12.75612103288721,21.68968392836235,12.75612103288721
pso,static_frozen,44,215.53931583516132,3025.2574246651984,21.334564200020395,215.53931583516132,3025.2574246651984,137.5008571089451,True,21.334564200020395,0.0,0,0,0,0,217,1871,0.0,3025.2574246651984,215.53931583516132,0.11598075895243186,0.0,0.0,0.0
pso,static_live,49,193.46860947435246,3312.009159248854,21.334564200020395,193.46860947435246,3312.009159248854,144.93255560402483,True,21.334564200020395,0.0,0,0,0,0,149,1927,0.0,3312.009159248854,193.46860947435246,0.07732226258432798,0.0,0.0,0.0
