method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,54,155.63833996357715,3779.0836402745053,688.8658455000259,155.63833996357715,3779.0836402745053,152.76757338755428,True,31.84011709992774,0.0,19,8,10,3,99,1719,657.0257284000982,3779.0836402745053,155.63833996357715,0.05759162303664921,4.680026080141761,15.33292318725398,4.680026080141761
aco,static_frozen,49,183.82392049248938,3279.155584262288,31.84011709992774,183.82392049248938,3279.155584262288,145.56820469284037,True,31.84011709992774,0.0,0,0,0,0,242,1517,0.0,3279.155584262288,183.82392049248938,0.15952537903757416,0.0,0.0,0.0
aco,static_live,51,163.2798809769215,3393.713345566114,31.84011709992774,163.2798809769215,3393.713345566114,146.33203426484883,True,31.84011709992774,0.0,0,0,0,0,155,1479,0.0,3393.713345566114,163.2798809769215,0.10480054090601758,0.0,0.0,0.0
ga,adaptive,43,192.38994914311363,2824.858387152095,2626.5159468002385,192.38994914311363,2824.858387152095,140.2499229732931,True,25.747750799986534,0.0,6,6,8,2,153,1833,2600.768196000252,2824.858387152095,192.38994914311363,0.08346972176759411,0.6567181211196739,4.176183735433598,0.6567181211196739
ga,static_frozen,46,200.77466818054012,3299.427241167063,25.747750799986534,200.77466818054012,3299.427241167063,142.01941148051483,True,25.747750799986534,0.0,0,0,0,0,188,1897,0.0,3299.427241167063,200.77466818054012,0.09910384818133895,0.0,0.0,0.0
ga,static_live,46,193.66176102142077,3298.3359920359926,25.747750799986534,193.66176102142077,3298.3359920359926,142.4812934036031,True,25.747750799986534,0.0,0,0,0,0,153,1862,0.0,3298.3359920359926,193.66176102142077,0.08216970998925886,0.0,0.0,0.0
nn,adaptive,43,201.31303307813062,3166.1683684634745,65.24749869969673,201.31303307813062,3166.1683684634745,140.47261975383657,True,10.21008449990768,0.0,32,2,8,3,120,2032,55.037414199789055,3166.1683684634745,201.31303307813062,0.05905511811023622,9.628054155198246,20.892204371209143,9.628054155198246
nn,static_frozen,40,254.47938661163226,3016.4361938064058,10.21008449990768,254.47938661163226,3016.4361938064058,132.8983636349264,True,10.21008449990768,0.0,0,0,0,0,358,2178,0.0,3016.4361938064058,254.47938661163226,0.16437098255280075,0.0,0.0,0.0
nn,static_live,43,222.76053834654735,3159.7320389380207,10.21008449990768,222.76053834654735,3159.7320389380207,141.4576931008449,True,10.21008449990768,0.0,0,0,0,0,149,2055,0.0,3159.7320389380207,222.76053834654735,0.07250608272506083,0.0,0.0,0.0
proposed,adaptive,47,152.93614201827344,2960.893383070109,1780.9524220996536,152.93614201827344,2960.893383070109,138.49558788023177,True,1139.5955789000727,0.0,5,3,9,1,102,1488,641.3568431995809,2960.893383070109,152.93614201827344,0.06854838709677419,0.1252004770809693,6.524918366028669,0.1252004770809693
proposed,static_frozen,47,163.61166991769963,2960.893383070109,1139.5955789000727,163.61166991769963,2960.893383070109,138.49558788023177,True,1139.5955789000727,0.0,0,0,0,0,131,1517,0.0,2960.893383070109,163.61166991769963,0.08635464733025709,0.0,0.0,0.0
proposed,static_live,47,153.12785882807006,2960.893383070109,1139.5955789000727,153.12785882807006,2960.893383070109,138.49558788023177,True,1139.5955789000727,0.0,0,0,0,0,102,1488,0.0,2960.893383070109,153.12785882807006,0.06854838709677419,0.0,0.0,0.0
pso,adaptive,61,193.97038054636843,4087.8492776160188,2082.7762378996704,193.97038054636843,4087.8492776160188,142.24845821309978,True,21.334564200020395,0.0,58,12,11,3,131,1929,2061.44167369965,4087.8492776160188,193.97038054636843,0.06791083462934162,5.754566054734911,16.952673208478053,5.754566054734911
pso,static_frozen,42,233.56607375611551,2871.0956388679733,21.334564200020395,233.56607375611551,2871.0956388679733,135.17885122192857,True,21.334564200020395,0.0,0,0,0,0,258,1871,0.0,2871.0956388679733,233.56607375611551,0.1378941742383752,0.0,0.0,0.0
pso,static_live,42,205.81408820189696,3086.82065935303,21.334564200020395,205.81408820189696,3086.82065935303,140.7670660781102,True,21.334564200020395,0.0,0,0,0,0,123,1853,0.0,3086.82065935303,205.81408820189696,0.06637884511602807,0.0,0.0,0.0
