method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,62,160.72144430363664,4140.721565420517,740.5064095996786,160.72144430363664,4140.721565420517,150.97302881930722,True,31.84011709992774,0.0,27,9,12,3,97,1981,708.6662924997509,4140.721565420517,160.72144430363664,0.048965169106511865,2.060669752574428,9.417804690903957,2.060669752574428
aco,static_frozen,47,177.43160645996994,3190.9922334700973,31.84011709992774,177.43160645996994,3190.9922334700973,131.9991441810519,True,31.84011709992774,0.0,0,0,0,0,276,1517,0.0,3190.9922334700973,177.43160645996994,0.18193803559657218,0.0,0.0,0.0
aco,static_live,48,164.10306655927062,3294.7925280566274,31.84011709992774,164.10306655927062,3294.7925280566274,140.74085597007462,True,31.84011709992774,0.0,0,0,0,0,214,1538,0.0,3294.7925280566274,164.10306655927062,0.13914174252275682,0.0,0.0,0.0
ga,adaptive,40,201.8041099694985,2808.1862620092807,2733.1959434001474,201.8041099694985,2808.1862620092807,135.26109533850092,True,25.747750799986534,0.0,26,5,7,2,181,2142,2707.448192600161,2808.1862620092807,201.8041099694985,0.08450046685340803,-8.676864081488702,0.7018301833830811,-8.676864081488702
ga,static_frozen,46,203.23044255718787,3258.1305933929943,25.747750799986534,203.23044255718787,3258.1305933929943,138.37702365281606,True,25.747750799986534,0.0,0,0,0,0,271,1897,0.0,3258.1305933929943,203.23044255718787,0.14285714285714285,0.0,0.0,0.0
ga,static_live,48,185.69187809668543,3396.8712513392393,25.747750799986534,185.69187809668543,3396.8712513392393,138.7543786503474,True,25.747750799986534,0.0,0,0,0,0,201,2005,0.0,3396.8712513392393,185.69187809668543,0.1002493765586035,0.0,0.0,0.0
nn,adaptive,40,208.93201478101577,2945.1497126983313,53.812998900189996,208.93201478101577,2945.1497126983313,139.4083777313933,True,10.21008449990768,0.0,37,5,7,2,181,2330,43.602914400282316,2945.1497126983313,208.93201478101577,0.07768240343347639,9.85188747429344,20.896097415243744,9.85188747429344
nn,static_frozen,40,264.1235235608693,2959.9147331863123,10.21008449990768,264.1235235608693,2959.9147331863123,135.90255272621803,True,10.21008449990768,0.0,0,0,0,0,425,2178,0.0,2959.9147331863123,264.1235235608693,0.19513314967860423,0.0,0.0,0.0
nn,static_live,44,231.7652682095112,3213.723023739344,10.21008449990768,231.7652682095112,3213.723023739344,136.9535399143934,True,10.21008449990768,0.0,0,0,0,0,226,2465,0.0,3213.723023739344,231.7652682095112,0.09168356997971602,0.0,0.0,0.0
proposed,adaptive,56,150.7241451880533,3651.802905002842,1772.8797563997796,150.7241451880533,3651.802905002842,137.5889158144563,True,1139.5955789000727,0.0,10,4,10,1,96,1655,633.2841774997069,3651.802905002842,150.7241451880533,0.05800604229607251,0.2495190354334668,9.004270624233381,0.2495190354334668
proposed,static_frozen,50,165.638702191878,3095.7068385485854,1139.5955789000727,165.638702191878,3095.7068385485854,125.45668777739527,True,1139.5955789000727,0.0,0,0,0,0,238,1517,0.0,3095.7068385485854,165.638702191878,0.15688859591298615,0.0,0.0,0.0
proposed,static_live,53,151.10117137339287,3306.5793653544692,1139.5955789000727,151.10117137339287,3306.5793653544692,135.44529714777022,True,1139.5955789000727,0.0,0,0,0,0,199,1572,0.0,3306.5793653544692,151.10117137339287,0.12659033078880408,0.0,0.0,0.0
pso,adaptive,47,184.12867312017153,3348.959842509302,1992.607143200119,184.12867312017153,3348.959842509302,137.5858157975962,True,21.334564200020395,0.0,60,13,9,4,219,1890,1971.2725790000986,3348.959842509302,184.12867312017153,0.11587301587301588,10.930858523947688,21.49084149179844,10.930858523947688
pso,static_frozen,44,234.53145673563205,3023.101891659613,21.334564200020395,234.53145673563205,3023.101891659613,134.46696885328123,True,21.334564200020395,0.0,0,0,0,0,365,1871,0.0,3023.101891659613,234.53145673563205,0.19508284339925175,0.0,0.0,0.0
pso,static_live,49,206.7255505877729,3335.5122022226383,21.334564200020395,206.7255505877729,3335.5122022226383,135.47471374597842,True,21.334564200020395,0.0,0,0,0,0,242,2042,0.0,3335.5122022226383,206.7255505877729,0.11851126346718903,0.0,0.0,0.0
