epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
33,1980.0,33.0,recovering,recovering,0 12 32 51,2.336448598130841,0.428,0.12,2797,105.20811,12.068996869663717,2797,105.20811,31.392959580447428,1.1012476045346498
34,2040.0,34.0,recovering,recovering,0 12 32 51,2.2026431718061676,0.45399999999999996,0.16,2797,105.20811,12.802160230904969,2797,105.20811,31.702090954731577,0.9847156127219314
35,2100.0,35.0,recovering,recovering,0 12 32 51,2.0833333333333335,0.48,0.2,2797,105.20811,13.535323592146224,2797,105.20811,31.982913113523583,0.8858158889046175
36,2160.0,36.0,recovering,recovering,0 12 32 51,1.976284584980237,0.506,0.24,2797,105.20811,14.268486953387479,2797,105.20811,32.23914449062352,0.8011508401077672
37,2220.0,37.0,recovering,recovering,0 12 32 51,1.8796992481203008,0.532,0.28,2797,105.20811,15.001650314628732,2797,105.20811,32.47387961181962,0.7281059249707234
38,2280.0,38.0,recovering,recovering,0 12 32 51,1.7921146953405016,0.558,0.32,2797,105.20811,15.734813675869988,2797,105.20811,32.6897146821153,0.6646420842710832
39,2340.0,39.0,recovering,recovering,0 12 32 51,1.7123287671232879,0.584,0.36,2797,105.20811,16.46797703711124,2797,105.20811,32.888844011416055,0.6091497929460399
40,2400.0,40.0,recovering,recovering,0 12 32 51,1.639344262295082,0.61,0.4,2797,105.20811,17.201140398352493,2797,105.20811,33.073134884250216,0.5603446347040686
41,2460.0,41.0,recovering,recovering,0 12 32 51,1.572327044025157,0.636,0.44,2797,105.20811,17.93430375959375,2797,105.20811,33.24418629355876,0.5171913999298727
42,2520.0,42.0,recovering,recovering,0 12 32 51,1.5105740181268883,0.6619999999999999,0.48,2797,105.20811,18.667467120835,2797,105.20811,33.40337545509262,0.47884812137724
43,2580.0,43.0,recovering,recovering,0 12 32 51,1.4534883720930234,0.688,0.52,2797,105.20811,19.400630482076252,2797,105.20811,33.551894968932665,0.4446242687051516
44,2640.0,44.0,recovering,recovering,0 12 32 51,1.400560224089636,0.714,0.56,2797,105.20811,20.133793843317505,2797,105.20811,33.690782751054904,0.41394914430568086
45,2700.0,45.0,recovering,recovering,0 12 32 51,1.3513513513513513,0.74,0.6,2797,105.20811,20.866957204558762,2797,105.20811,33.820946324459584,0.3863477271112137
46,2760.0,46.0,recovering,recovering,0 12 32 51,1.3054830287206267,0.766,0.64,2797,105.20811,21.600120565800015,2797,105.20811,33.943182672163054,0.3614220209298802
47,2820.0,47.0,recovering,recovering,0 12 32 51,1.2626262626262625,0.792,0.68,2797,105.20811,22.333283927041272,2797,105.20811,34.058194570117074,0.3388365170845953
48,2880.0,48.0,recovering,recovering,0 12 32 51,1.2224938875305624,0.818,0.72,2797,105.20811,23.06644728828252,2797,105.20811,34.166604107310576,0.3183067645300852
49,2940.0,49.0,recovering,recovering,0 12 32 51,1.1848341232227486,0.8440000000000001,0.76,2797,105.20811,23.799610649523782,2797,105.20811,34.268963942438084,0.29959030990032165
50,3000.0,50.0,recovering,recovering,0 12 32 51,1.1494252873563218,0.87,0.8,2797,105.20811,24.532774010765035,2797,105.20811,34.365766727216055,0.28247946141755076
51,3060.0,51.0,recovering,recovering,0 12 32 51,1.1160714285714286,0.896,0.84,2797,105.20811,25.265937372006285,2797,105.20811,34.45745303550113,0.26679546833001666
52,3120.0,52.0,recovering,recovering,0 12 32 51,1.0845986984815619,0.922,0.88,2797,105.20811,25.999100733247538,2797,105.20811,34.54441806750724,0.25238380769614377
53,3180.0,53.0,recovering,recovering,0 12 32 51,1.0548523206751055,0.9480000000000001,0.92,2797,105.20811,26.732264094488794,2797,105.20811,34.62701734434191,0.2391103438861064
54,3240.0,54.0,recovering,recovering,0 12 32 51,1.026694045174538,0.974,0.96,2797,105.20811,27.465427455730044,2797,105.20811,34.705571565923464,0.2268581807101322
55,3300.0,55.0,normal,recovered,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.1985908169713,0,0.0,34.78037077224997,0.21552506687412265
56,3360.0,56.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.1985908169713,0,0.0,34.78037077224997,0.0
57,3420.0,57.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.1985908169713,0,0.0,34.78037077224997,0.0
58,3480.0,58.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.1985908169713,0,0.0,34.78037077224997,0.0
59,3540.0,59.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.1985908169713,0,0.0,34.78037077224997,0.0
60,3600.0,60.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,7.8850994464067625
61,3660.0,61.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
62,3720.0,62.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
63,3780.0,63.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
64,3840.0,64.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
65,3900.0,65.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
66,3960.0,66.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
67,4020.0,67.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
68,4080.0,68.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
69,4140.0,69.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
70,4200.0,70.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
71,4260.0,71.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
72,4320.0,72.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
