epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
0,0.0,0.0,normal,initial,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
1,60.0,1.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
2,120.0,2.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
3,180.0,3.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
4,240.0,4.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
5,300.0,5.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
6,360.0,6.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
7,420.0,7.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
8,480.0,8.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
9,540.0,9.0,normal,normal,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
10,600.0,10.0,degrading,degrading,29 31 45 49,1.0,1.0,0.0,3677,130.67439,31.36187619666575,0,0.0,34.78485670281197,0.0
11,660.0,11.0,degrading,degrading,29 31 45 49,1.06951871657754,0.935,0.0,3677,130.67439,29.32335424388248,3677,130.67439,34.56371404486458,-0.6357440533297121
12,720.0,12.0,degrading,degrading,29 31 45 49,1.1494252873563218,0.87,0.0,3677,130.67439,27.284832291099203,3677,130.67439,34.317993984953176,-0.7109191436789897
13,780.0,13.0,degrading,degrading,29 31 45 49,1.2422360248447206,0.8049999999999999,0.0,3677,130.67439,25.246310338315926,3677,130.67439,34.03694211724979,-0.8189635671205564
14,840.0,14.0,degrading,degrading,29 31 45 49,1.3513513513513513,0.74,0.0,3677,130.67439,23.20778838553266,3677,130.67439,33.712347650969065,-0.9536534309179889
15,900.0,15.0,degrading,degrading,29 31 45 49,1.4814814814814814,0.675,0.0,3677,130.67439,21.169266432749385,3677,130.67439,33.33324201699034,-1.1245305070524458
16,960.0,16.0,degrading,degrading,29 31 45 49,1.639344262295082,0.61,0.0,3677,130.67439,19.130744479966108,3677,130.67439,32.884634908397665,-1.3458250126525795
17,1020.0,17.0,degrading,degrading,29 31 45 49,1.8348623853211008,0.545,0.0,3677,130.67439,17.092222527182834,3677,130.67439,32.34548500261859,-1.6395192079246557
18,1080.0,18.0,degrading,degrading,29 31 45 49,2.0833333333333335,0.48,0.0,3677,130.67439,15.05370057439956,3677,130.67439,31.685304056537916,-2.0410296708403886
19,1140.0,19.0,degrading,degrading,29 31 45 49,2.409638554216868,0.4149999999999999,0.0,3677,130.67439,13.015178621616284,3677,130.67439,30.85818486053072,-2.6104189959210045
