method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,48,164.85487433911976,3410.4975616848183,662.714315499994,164.85487433911976,3410.4975616848183,147.8769185951198,True,31.84011709992774,0.0,12,7,9,3,133,1728,630.8741984000662,3410.4975616848183,164.85487433911976,0.07696759259259259,-3.402181044649252,6.134858332860002,-3.402181044649252
aco,static_frozen,47,175.6294950512301,3189.997749366643,31.84011709992774,175.6294950512301,3189.997749366643,133.80051712491542,True,31.84011709992774,0.0,0,0,0,0,237,1517,0.0,3189.997749366643,175.6294950512301,0.15622940013183917,0.0,0.0,0.0
aco,static_live,48,159.43075153118397,3296.9132818813114,31.84011709992774,159.43075153118397,3296.9132818813114,143.2906219837696,True,31.84011709992774,0.0,0,0,0,0,156,1532,0.0,3296.9132818813114,159.43075153118397,0.10182767624020887,0.0,0.0,0.0
ga,adaptive,43,200.43037579860433,3107.9435219263446,2389.900906299823,200.43037579860433,3107.9435219263446,137.77424067649346,True,25.747750799986534,0.0,3,5,8,1,156,1932,2364.1531554998364,3107.9435219263446,200.43037579860433,0.08074534161490683,0.6513331243424743,11.847666443027801,0.6513331243424743
ga,static_frozen,45,227.36820196491755,3232.6433929008977,25.747750799986534,227.36820196491755,3232.6433929008977,129.4300565260381,True,25.747750799986534,0.0,0,0,0,0,273,1897,0.0,3232.6433929008977,227.36820196491755,0.14391143911439114,0.0,0.0,0.0
ga,static_live,48,201.74440392789398,3373.39903162775,25.747750799986534,201.74440392789398,3373.39903162775,136.66659154010605,True,25.747750799986534,0.0,0,0,0,0,185,1972,0.0,3373.39903162775,201.74440392789398,0.0938133874239351,0.0,0.0,0.0
nn,adaptive,43,192.31243738111615,3111.067344234852,65.38877419976052,192.31243738111615,3111.067344234852,138.65445799232802,True,10.21008449990768,0.0,26,3,8,2,156,2116,55.17868969985284,3111.067344234852,192.31243738111615,0.07372400756143667,18.190037944437403,28.492601735757052,18.190037944437403
nn,static_frozen,43,268.9406160051573,3132.7725407599582,10.21008449990768,268.9406160051573,3132.7725407599582,128.1313505378546,True,10.21008449990768,0.0,0,0,0,0,514,2178,0.0,3132.7725407599582,268.9406160051573,0.2359963269054178,0.0,0.0,0.0
nn,static_live,44,235.07215081031813,3186.2527011144425,10.21008449990768,235.07215081031813,3186.2527011144425,136.5817341622013,True,10.21008449990768,0.0,0,0,0,0,224,2258,0.0,3186.2527011144425,235.07215081031813,0.09920283436669619,0.0,0.0,0.0
proposed,adaptive,52,166.5832349116583,3225.5720986417427,1751.9107226999477,166.5832349116583,3225.5720986417427,137.87078964969865,True,1139.5955789000727,0.0,1,2,10,1,151,1531,612.3151437998749,3225.5720986417427,166.5832349116583,0.09862834748530372,8.869251591636492e-05,7.145230081694084,8.869251591636492e-05
proposed,static_frozen,48,179.40191447161956,3018.269726559396,1139.5955789000727,179.40191447161956,3018.269726559396,129.1827591368412,True,1139.5955789000727,0.0,0,0,0,0,199,1517,0.0,3018.269726559396,179.40191447161956,0.13117996044825314,0.0,0.0,0.0
proposed,static_live,52,166.5833826586515,3225.5720986417427,1139.5955789000727,166.5833826586515,3225.5720986417427,137.87078964969865,True,1139.5955789000727,0.0,0,0,0,0,151,1531,0.0,3225.5720986417427,166.5833826586515,0.09862834748530372,0.0,0.0,0.0
pso,adaptive,53,179.46060802158266,3641.423402986164,1869.200586400344,179.46060802158266,3641.423402986164,144.7994510181249,True,21.334564200020395,0.0,58,12,10,3,160,1717,1847.8660222003236,3641.423402986164,179.46060802158266,0.093185789167152,19.221220088919356,29.634433824891243,19.221220088919356
pso,static_frozen,44,255.04038093715414,3009.1667245915105,21.334564200020395,255.04038093715414,3009.1667245915105,135.18740448565984,True,21.334564200020395,0.0,0,0,0,0,414,1871,0.0,3009.1667245915105,255.04038093715414,0.22127204703367184,0.0,0.0,0.0
pso,static_live,49,222.16305844075464,3337.406466845099,21.334564200020395,222.16305844075464,3337.406466845099,140.8455978626826,True,21.334564200020395,0.0,0,0,0,0,254,1991,0.0,3337.406466845099,222.16305844075464,0.12757408337518836,0.0,0.0,0.0
