run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k12_h04_s7,aco,84,12,4,7,84.44561334316249,172.96286555473645,161.23180520883304,2075.5543866568373,15.086173499934375,23.079528799979016,2544.8615474499866,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k12_h04_s7,ga,84,12,4,7,87.68805840699082,172.69266179941744,164.08725634994758,2072.311941593009,15.086173499934375,19.12186990003101,2501.95168523198,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k12_h04_s7,nn,84,12,4,7,105.47237545447848,171.21063537879346,162.290458800615,2054.5276245455216,15.086173499934375,0.2927928999997675,2807.1488386405213,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k12_h04_s7,proposed,84,12,4,7,82.62345141061512,173.11471238244874,160.94820138023434,2077.376548589385,15.086173499934375,3019.514787300024,2907.7425990837114,84,11700.0,12,True,True,True,True,True,False,64.0,False,11700.0,11700.0
pso_n84_k12_h04_s7,pso,84,12,4,7,99.43923054542424,171.71339745454796,160.99245818557702,2060.560769454576,15.086173499934375,14.506656900048256,2737.5038143554534,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0
