method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,84.44561334316249,172.96286555473645,161.23180520883304,2544.8615474499866,23.079528799979016,1.0
ga,1,87.68805840699082,172.69266179941744,164.08725634994758,2501.95168523198,19.12186990003101,1.0
nn,1,105.47237545447848,171.21063537879346,162.290458800615,2807.1488386405213,0.2927928999997675,1.0
proposed,1,82.62345141061512,173.11471238244874,160.94820138023434,2907.7425990837114,3019.514787300024,1.0
pso,1,99.43923054542424,171.71339745454796,160.99245818557702,2737.5038143554534,14.506656900048256,1.0
