method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,108.85784104030914,167.90468432885456,154.7432283364595,3253.315412056265,23.673908500000834,1.0
ga,1,113.07333469744452,167.43629614472837,154.87411403728103,2872.23369445264,20.03891650005244,1.0
nn,1,137.82545467537997,164.68606059162445,156.79361035237577,3243.9336062442267,0.2406789999222383,1.0
proposed,1,101.13894784656888,168.762339128159,154.85093328157427,2802.2935485058074,1512.8723829000955,1.0
pso,1,133.10515141086407,165.21053873212622,157.719194327313,2953.1803896706847,12.925065899966285,1.0
