"start_hour","branch","best_energy_kwh","final_message_residual","selected","rounds"
"0","canonical","98.4847429899705","0.00508108625363601","False","33"
"0","labeled","95.4820588346492","0.892401379378978","True","33"
"1","canonical","81.9327922277726","0.000728012272878997","True","33"
"1","labeled","84.211713324311","1.64807059681913","False","33"
"2","canonical","81.3110296740536","0.0620544157036782","False","33"
"2","labeled","79.8420287292926","0.138109417002108","True","33"
"3","canonical","85.3152192242205","0.846418230324447","True","33"
"3","labeled","88.3062360821236","1.06967874464137","False","33"
"4","canonical","81.5945514536259","0.872431971848229","False","33"
"4","labeled","78.1975953180098","0.619358134689431","True","33"
"5","canonical","93.1842238508778","0.142337963827794","False","33"
"5","labeled","82.7450332980428","0.802188683063268","True","33"
"6","canonical","94.4419208162405","0.00222991557384145","False","33"
"6","labeled","89.3424704249862","0.809872969778337","True","33"
"7","canonical","108.396248055624","0.824912118045023","False","33"
"7","labeled","106.005034107593","0.326862800965773","True","33"
"8","canonical","123.609856893199","0.347788004012654","False","33"
"8","labeled","120.787120403457","0.0272582688667002","True","33"
"9","canonical","134.689515843479","0.00106410060662476","True","33"
"9","labeled","138.39613883481","2.48637444529959","False","33"
"10","canonical","162.207198917299","6.37836081925939","False","33"
"10","labeled","156.368849933257","3.02281696941137","True","33"
"11","canonical","166.313683958651","1.68492360715734","False","33"
"11","labeled","164.678669013209","0.162677439736428","True","33"
"12","canonical","175.463557910833","0.617283665119933","False","33"
"12","labeled","168.065472527364","3.70031869925281","True","33"
"13","canonical","156.339577613964","1.72851460203498","False","33"
"13","labeled","152.656588217296","0.11685424359584","True","33"
"14","canonical","141.818434487422","0.0427691370237611","False","33"
"14","labeled","136.446344562351","0.147343734042052","True","33"
"15","canonical","128.996248615839","0.00203747786131281","False","33"
"15","labeled","124.267450027741","0.00192469242925353","True","33"
"16","canonical","152.76875388365","0.928463908075546","False","33"
"16","labeled","152.649220963636","4.38696966485679","True","33"
"17","canonical","139.688323941919","0.00713893963173007","False","33"
"17","labeled","137.064985281619","0.000782457711976825","True","28"
"18","canonical","127.003869911287","0.000879196932088711","False","31"
"18","labeled","124.985617021931","0.000795922567911056","True","29"
"19","canonical","107.534292247165","0.0868355591220656","False","33"
"19","labeled","105.484971756042","0.000870158941297827","True","26"
"20","canonical","118.451503328971","0.0123096449077298","True","33"
"20","labeled","125.387338256248","1.42948604129752","False","33"
"21","canonical","120.995533760686","0.497646899774865","False","33"
"21","labeled","117.543071429097","0.023356148168078","True","33"
"22","canonical","112.61287877448","0.254400967525553","False","33"
"22","labeled","100.44321963632","0.355823838352439","True","33"
"23","canonical","96.7862812397399","0.0122248177969883","False","33"
"23","labeled","91.9811148628761","0.710929755075498","True","33"
