start_hour,run_id,method,n_bins,vehicles,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged
2,pso_n84_k10_h02_s7,pso,84,10,7,94.83195826461775,170.51680417353822,156.15152276868355,1705.1680417353823,11.82893990003504,16.633475799986627,2902.133323545233,84,13168.0,10,True,True,True,True,True,,,
3,aco_n84_k10_h03_s7,aco,84,10,7,87.52873831307458,171.24712616869255,162.06937221727054,1712.4712616869251,12.509636699978728,32.18839659995865,2815.7326610816654,84,13168.0,10,True,True,True,True,True,,,
3,ga_n84_k10_h03_s7,ga,84,10,7,91.29349095242765,170.87065090475724,164.73476798997686,1708.7065090475724,12.509636699978728,26.596866499981843,2640.9563758642867,84,13168.0,10,True,True,True,True,True,,,
3,nn_n84_k10_h03_s7,nn,84,10,7,105.92988401711084,169.4070115982889,162.81353981607975,1694.070115982889,12.509636699978728,0.2916699999477714,2699.1196806029075,84,13168.0,10,True,True,True,True,True,,,
3,proposed_n84_k10_h03_s7,proposed,84,10,7,85.31521922422048,171.46847807757794,158.54734462672624,1714.6847807757797,13.086814400041476,1098.759030999965,3061.092949056481,84,13168.0,10,True,True,True,True,True,False,64.0,False
3,pso_n84_k10_h03_s7,pso,84,10,7,104.3931909100469,169.5606809089953,163.19221119511823,1695.606809089953,12.509636699978728,16.37675770005444,2648.7649702390545,84,13168.0,10,True,True,True,True,True,,,
4,aco_n84_k10_h04_s7,aco,84,10,7,83.7075347152783,171.62924652847215,159.58058744167226,1716.2924652847216,12.36479279998457,33.58324680000078,2605.8323772011054,84,13168.0,10,True,True,True,True,True,,,
4,ga_n84_k10_h04_s7,ga,84,10,7,88.48539654510957,171.15146034548906,163.74124708464834,1711.5146034548904,12.36479279998457,30.64597070001764,2676.1642229637337,84,13168.0,10,True,True,True,True,True,,,
4,nn_n84_k10_h04_s7,nn,84,10,7,102.71235738767786,169.7287642612322,160.4038521500087,1697.287642612322,12.36479279998457,0.3444210999878123,3035.652370253684,84,13168.0,10,True,True,True,True,True,,,
4,proposed_n84_k10_h04_s7,proposed,84,10,7,78.19759531800982,172.180240468199,161.74746388884725,1721.80240468199,13.16025419998914,2281.111554199946,2626.341835471548,84,13168.0,10,True,True,True,True,True,False,64.0,False
4,pso_n84_k10_h04_s7,pso,84,10,7,98.0566455616479,170.1943354438352,162.60552774788442,1701.943354438352,12.36479279998457,19.492066400009207,2572.264863872153,84,13168.0,10,True,True,True,True,True,,,
5,aco_n84_k10_h05_s7,aco,84,10,7,88.1454992430999,171.18545007569,163.06506857445646,1711.8545007569,11.930336500052364,33.76085500000045,2875.463795648613,84,13168.0,10,True,True,True,True,True,,,
5,ga_n84_k10_h05_s7,ga,84,10,7,90.6932398171356,170.93067601828642,161.08186490169362,1709.3067601828643,11.930336500052364,27.20296700001927,2560.648351482438,84,13168.0,10,True,True,True,True,True,,,
5,nn_n84_k10_h05_s7,nn,84,10,7,104.33449833770275,169.56655016622972,163.13821832239282,1695.6655016622972,11.930336500052364,0.3055569000425748,2604.965204170787,84,13168.0,10,True,True,True,True,True,,,
5,proposed_n84_k10_h05_s7,proposed,84,10,7,82.74503329804283,171.7254966701957,161.81216475805556,1717.254966701957,10.761842499952763,979.9838247000008,2653.358524065653,84,13168.0,10,True,True,True,True,True,False,64.0,False
5,pso_n84_k10_h05_s7,pso,84,10,7,100.34350527462836,169.96564947253717,163.51500417849684,1699.6564947253717,11.930336500052364,17.761204799986444,2878.2370664716973,84,13168.0,10,True,True,True,True,True,,,
6,aco_n84_k10_h06_s7,aco,84,10,7,92.96996975097976,170.70300302490202,158.04800382663896,1707.0300302490202,12.253337099973578,34.05519030004507,2533.2653442617348,84,13168.0,10,True,True,True,True,True,,,
6,ga_n84_k10_h06_s7,ga,84,10,7,101.01510220794124,169.89848977920587,163.40862225482985,1698.9848977920587,12.253337099973578,26.771414899965748,2621.151236031211,84,13168.0,10,True,True,True,True,True,,,
6,nn_n84_k10_h06_s7,nn,84,10,7,119.13530685094098,168.0864693149059,162.69008278346655,1680.8646931490591,12.253337099973578,0.3285754999960772,3018.7346854671723,84,13168.0,10,True,True,True,True,True,,,
6,proposed_n84_k10_h06_s7,proposed,84,10,7,89.34247042498616,171.0657529575014,161.23556909524734,1710.6575295750138,12.121093500056304,1515.8866939001018,2598.0608007007468,84,13168.0,10,True,True,True,True,True,False,64.0,False
6,pso_n84_k10_h06_s7,pso,84,10,7,112.11765105405502,168.7882348945945,159.62379043204638,1687.882348945945,12.253337099973578,18.241980600054376,2956.6213567073914,84,13168.0,10,True,True,True,True,True,,,
7,aco_n84_k10_h07_s7,aco,84,10,7,113.0225267711372,168.6977473228863,155.79063567354856,1686.977473228863,12.204008499975316,34.70664390001912,2704.5165277697606,84,13168.0,10,True,True,True,True,True,,,
7,ga_n84_k10_h07_s7,ga,84,10,7,120.13098869647996,167.986901130352,156.3256065405137,1679.86901130352,12.204008499975316,26.205745499988552,3091.654171640421,84,13168.0,10,True,True,True,True,True,,,
7,nn_n84_k10_h07_s7,nn,84,10,7,133.30479709605228,166.6695202903948,161.89775204616276,1666.6952029039478,12.204008499975316,0.3792963000014424,2601.131528814738,84,13168.0,10,True,True,True,True,True,,,
