"baseline","proposed_wins","ties","proposed_losses","baseline_mean_kwh","proposed_mean_kwh","mean_saving_kwh","mean_saving_percent","minimum_hourly_saving_kwh","maximum_hourly_saving_kwh"
"aco","24","0","0","121.961182412063","116.89274779055","5.06843462151251","4.15577688021103","1.62323420849722","9.42845712769437"
"ga","24","0","0","130.857420566509","116.89274779055","13.9646727759583","10.6716705216276","4.24208708998842","23.8434656058685"
"pso","24","0","0","141.951066393906","116.89274779055","25.0583186033557","17.6527864424916","13.6984257570968","38.9358608102862"
"nn","24","0","0","148.239961562826","116.89274779055","31.347213772276","21.1462640989626","18.0401896183796","46.6680914708257"
