method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,24,121.96118241206295,167.8038817587937,137.7300452130208,2929.738336718315,813.338462600077,1.0
ga,24,130.85742056650875,166.91425794334913,138.22135753022428,2805.8079349055533,670.2692162999883,1.0
nn,24,148.23996156282644,165.17600384371735,141.73860231570643,2884.7241637195307,8.06488059979165,1.0
proposed,24,116.89274779055046,168.31072522094496,146.30954394476436,2834.469519320144,33371.47609819996,1.0
pso,24,141.9510663939061,165.80489336060938,142.12554891992858,2940.66586461826,427.994017200137,1.0
