run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg
aco_n84_k7_h19_s7,aco,84,7,19,7,107.035993377756,164.7091438031777,159.12388810634948,1152.964006622244,26.230933099985123,23.774124399991702,3261.6062490969643,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
ga_n84_k7_h19_s7,ga,84,7,19,7,111.15051665370429,164.12135476375653,153.90325239136246,1148.8494833462958,26.230933099985123,19.763921400066465,3416.734062009348,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
nn_n84_k7_h19_s7,nn,84,7,19,7,128.8947752058369,161.58646068488042,153.96946480590793,1131.105224794163,26.230933099985123,0.1865740000503137,3176.75756245379,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
proposed_n84_k7_h19_s7,proposed,84,7,19,7,98.66883791164804,165.9044517269074,158.9548903323498,1161.331162088352,26.230933099985123,4518.127695800038,3063.4523906819963,84,11700.0,7,True,True,True,True,True,False,59.0,False,11700.0,11700.0
pso_n84_k7_h19_s7,pso,84,7,19,7,128.00299204744485,161.71385827893644,154.4244780986796,1131.9970079525551,26.230933099985123,10.333315899944864,3151.652273692323,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0
