method,runs,energy_mean_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,makespan_mean_s,runtime_total_s,feasible_rate
aco,1,107.035993377756,164.7091438031777,159.12388810634948,3261.6062490969643,23.774124399991702,1.0
ga,1,111.15051665370429,164.12135476375653,153.90325239136246,3416.734062009348,19.763921400066465,1.0
nn,1,128.8947752058369,161.58646068488042,153.96946480590793,3176.75756245379,0.1865740000503137,1.0
proposed,1,98.66883791164804,165.9044517269074,158.9548903323498,3063.4523906819963,4518.127695800038,1.0
pso,1,128.00299204744485,161.71385827893644,154.4244780986796,3151.652273692323,10.333315899944864,1.0
