method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,64,161.9204293854704,4168.59427169528,728.361339700059,161.9204293854704,4168.59427169528,153.93576808586332,True,31.84011709992774,0.0,32,13,12,4,73,2085,696.5212226001313,4168.59427169528,161.9204293854704,0.03501199040767386,-1.5070418075131156,3.1239086993102454,-1.5070418075131156
aco,static_frozen,47,167.14178618426314,3143.4991587911677,31.84011709992774,167.14178618426314,3143.4991587911677,130.13580758947268,True,31.84011709992774,0.0,0,0,0,0,231,1517,0.0,3143.4991587911677,167.14178618426314,0.15227422544495714,0.0,0.0,0.0
aco,static_live,47,159.51644979716644,3142.7257241099087,31.84011709992774,159.51644979716644,3142.7257241099087,133.095491865507,True,31.84011709992774,0.0,0,0,0,0,181,1502,0.0,3142.7257241099087,159.51644979716644,0.12050599201065246,0.0,0.0,0.0
ga,adaptive,50,162.74605777104256,3337.669881611641,2730.036870599957,162.74605777104256,3337.669881611641,151.62153400242082,True,25.747750799986534,0.0,24,9,9,4,158,1979,2704.2891197999706,3337.669881611641,162.74605777104256,0.07983830217281455,-0.8163948877603868,3.725252670480377,-0.8163948877603868
ga,static_frozen,45,169.0433496688509,3232.583408073239,25.747750799986534,169.0433496688509,3232.583408073239,153.24914344512445,True,25.747750799986534,0.0,0,0,0,0,256,1897,0.0,3232.583408073239,169.0433496688509,0.13494992092778071,0.0,0.0,0.0
ga,static_live,45,161.4281664725553,3270.50856254759,25.747750799986534,161.4281664725553,3270.50856254759,154.76146553532345,True,25.747750799986534,0.0,0,0,0,0,181,1824,0.0,3270.50856254759,161.4281664725553,0.09923245614035088,0.0,0.0,0.0
nn,adaptive,53,157.8387745503856,3730.13023648505,85.28334060020279,157.8387745503856,3730.13023648505,139.60337299701104,True,10.21008449990768,0.0,37,2,10,2,105,2059,75.07325610029511,3730.13023648505,157.8387745503856,0.05099562894609033,17.433995364953454,21.8016318433259,17.433995364953454
nn,static_frozen,43,201.84407714768193,3112.375747400699,10.21008449990768,201.84407714768193,3112.375747400699,132.16050141031795,True,10.21008449990768,0.0,0,0,0,0,220,2178,0.0,3112.375747400699,201.84407714768193,0.10101010101010101,0.0,0.0,0.0
nn,static_live,44,191.16678256148566,3170.349633175184,10.21008449990768,191.16678256148566,3170.349633175184,134.8664875937874,True,10.21008449990768,0.0,0,0,0,0,151,2183,0.0,3170.349633175184,191.16678256148566,0.06917086578103528,0.0,0.0,0.0
proposed,adaptive,49,171.0111885735448,3176.8626792775535,1756.641772800358,171.0111885735448,3176.8626792775535,139.6661492147751,True,1139.5955789000727,0.0,11,5,9,1,192,1759,617.0461939002853,3176.8626792775535,171.0111885735448,0.10915292779988629,-5.53282231280144,3.486170950834814,-5.53282231280144
proposed,static_frozen,49,177.18827473566495,3053.689502819297,1139.5955789000727,177.18827473566495,3053.689502819297,130.01715364481836,True,1139.5955789000727,0.0,0,0,0,0,248,1517,0.0,3053.689502819297,177.18827473566495,0.16348055372445616,0.0,0.0,0.0
proposed,static_live,55,162.04549904546678,3411.0363194522856,1139.5955789000727,162.04549904546678,3411.0363194522856,134.1285072073354,True,1139.5955789000727,0.0,0,0,0,0,119,1614,0.0,3411.0363194522856,162.04549904546678,0.07372986369268897,0.0,0.0,0.0
pso,adaptive,47,165.9232086013681,3381.981526892389,1892.3976106001064,165.9232086013681,3381.981526892389,143.1966309256439,True,21.334564200020395,0.0,78,18,9,5,132,1912,1871.063046400086,3381.981526892389,165.9232086013681,0.06903765690376569,3.767313772630319,9.25393676619615,3.767313772630319
pso,static_frozen,44,182.8434233823159,3036.5290612361855,21.334564200020395,182.8434233823159,3036.5290612361855,135.28272204757354,True,21.334564200020395,0.0,0,0,0,0,200,1871,0.0,3036.5290612361855,182.8434233823159,0.10689470871191876,0.0,0.0,0.0
pso,static_live,50,172.4187644615262,3360.2988255931464,21.334564200020395,172.4187644615262,3360.2988255931464,139.8879485177282,True,21.334564200020395,0.0,0,0,0,0,138,1958,0.0,3360.2988255931464,172.4187644615262,0.07048008171603677,0.0,0.0,0.0
