method,policy,epoch,elapsed_s,elapsed_min,replan_epoch,traffic_state,traffic_change,center_bins,affected_edges,peak_tt_multiplier,speed_multiplier,recovery_progress,network_speed_kmh,sim_hour,remaining_bins_before,served_bins_epoch,remaining_bins_after,epoch_energy_kwh,epoch_energy_per_served_bin_kwh,cumulative_energy_kwh,epoch_operating_s,cumulative_operating_s,oracle_runtime_s,solver_runtime_s,planning_runtime_s,cumulative_planning_runtime_s,compute_wait_aux_energy_kwh,cumulative_compute_wait_aux_energy_kwh,latency_adjusted_energy_kwh,latency_adjusted_time_s,planned_remaining_energy_kwh,planned_remaining_makespan_s,incumbent_plan_energy_kwh,candidate_plan_energy_kwh,candidate_energy_improvement_kwh,replan_attempted,replan_accepted,acceptance_reason,candidate_next_choice_changes,candidate_reassigned_bins,next_choice_changes,reassigned_bins,traversed_edges,disrupted_edges_traversed,disrupted_edge_share,min_battery_kwh,max_payload_kg,returned_to_depot,converged,rounds,replanned,active_planning_vehicles,vehicles_still_requiring_first_service
proposed,adaptive,0,0.0,0.0,0,normal,initial,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.0,84,0,84,18.947812200580838,18.947812200580838,18.947812200580838,60.0,60.0,10.709383900044486,1128.8861950000282,1139.5955789000727,1139.5955789000727,0.0,0.0,18.947812200580838,60.0,124.98723160038621,2771.5048752969888,,,,False,False,initial_plan,0,0,0,0,123,0,0.0,177.2717760608753,0.0,False,,,True,10,10
proposed,adaptive,1,60.0,1.0,0,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.016666666666666,84,0,84,3.6431287464134887,3.6431287464134887,22.590940946994326,60.0,120.0,0.0,0.0,0.0,1139.5955789000727,0.0,0.0,22.590940946994326,120.0,105.50890338066785,2707.1370397431347,,,,False,False,not_attempted,0,0,0,0,83,0,0.0,176.43141531177028,0.0,False,,,False,9,10
proposed,adaptive,2,120.0,2.0,0,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.033333333333335,84,3,81,2.150613593169741,0.716871197723247,24.741554540164067,60.0,180.0,0.0,0.0,0.0,1139.5955789000727,0.0,0.0,24.741554540164067,180.0,101.10086336244001,2575.1489099165824,,,,False,False,not_attempted,0,0,0,0,49,0,0.0,176.33808197843695,215.0,False,,,False,8,7
proposed,adaptive,3,180.0,3.0,0,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.05,81,3,78,3.271356097706687,1.0904520325688958,28.012910637870753,60.0,240.0,0.0,0.0,0.0,1139.5955789000727,0.0,0.0,28.012910637870753,240.0,99.24169389457438,2575.1489099165824,,,,False,False,not_attempted,0,0,0,0,57,0,0.0,176.08417388140913,215.0,False,,,False,8,4
proposed,adaptive,4,240.0,4.0,0,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.066666666666666,78,1,77,3.7024315460081656,3.7024315460081656,31.715342183878917,60.0,300.0,0.0,0.0,0.0,1139.5955789000727,0.0,0.0,31.715342183878917,300.0,96.4371557706104,2523.292639918653,,,,False,False,not_attempted,0,0,0,0,61,0,0.0,174.23595111138894,249.0,False,,,False,7,3
proposed,adaptive,5,300.0,5.0,1,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.083333333333332,77,2,75,2.7189758189326834,1.3594879094663417,34.4343180028116,60.0,360.0,9.668217599974014,136.47600709996186,146.14422469993588,1285.7398036000086,0.0,0.0,34.4343180028116,360.0,92.79090225860935,2353.701123446594,92.79090225860935,96.66345094303185,-3.8725486844224974,True,False,incumbent_not_worse,8,51,0,0,41,0,0.0,174.1426177780556,402.0,False,True,21.0,True,7,3
proposed,adaptive,6,360.0,6.0,1,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.1,75,3,72,4.611279417259635,1.5370931390865452,39.04559742007124,60.0,420.0,0.0,0.0,0.0,1285.7398036000086,0.0,0.0,39.04559742007124,420.0,90.05551392370413,2353.701123446594,,,,False,False,not_attempted,0,0,0,0,41,0,0.0,173.80269504982573,402.0,False,,,False,7,2
proposed,adaptive,7,420.0,7.0,1,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.116666666666667,72,1,71,5.190400002822974,5.190400002822974,44.235997422894215,60.0,480.0,0.0,0.0,0.0,1285.7398036000086,0.0,0.0,44.235997422894215,480.0,85.29960763845678,2350.428994697508,,,,False,False,not_attempted,0,0,0,0,51,0,0.0,171.7315048732715,402.0,False,,,False,7,1
proposed,adaptive,8,480.0,8.0,1,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.133333333333333,71,2,69,2.495136967710586,1.247568483855293,46.7311343906048,60.0,540.0,0.0,0.0,0.0,1285.7398036000086,0.0,0.0,46.7311343906048,540.0,79.97940923294234,2176.3863390623183,,,,False,False,not_attempted,0,0,0,0,19,0,0.0,171.63817153993816,422.0,False,,,False,7,0
proposed,adaptive,9,540.0,9.0,1,normal,normal,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.15,69,4,65,2.2682353970901716,0.5670588492725429,48.999369787694974,60.0,600.0,0.0,0.0,0.0,1285.7398036000086,0.0,0.0,48.999369787694974,600.0,77.62879857543831,2176.3863390623183,,,,False,False,not_attempted,0,0,0,0,19,0,0.0,171.54640459197284,574.0,False,,,False,7,0
proposed,adaptive,10,600.0,10.0,2,degrading,degrading,26 31 44 48,0,1.0,1.0,0.0,34.78037077224997,18.166666666666668,65,1,64,2.264359248722955,2.264359248722955,51.26372903641793,60.0,660.0,6.0699996538460255e-05,73.28087359992787,73.28093429992441,1359.020737899933,0.0,0.0,51.26372903641793,660.0,75.37762181306357,2157.509480549697,75.37762181306357,80.01441057614328,-4.636788763079707,True,False,incumbent_not_worse,4,25,0,0,29,0,0.0,171.29011539682318,574.0,False,True,22.0,True,7,0
proposed,adaptive,11,660.0,11.0,2,degrading,degrading,26 31 44 48,4546,1.06951871657754,0.935,0.0,34.55694772339093,18.183333333333334,64,2,62,3.190203074621302,1.595101537310651,54.45393211103923,60.0,720.0,0.0,0.0,0.0,1359.020737899933,0.0,0.0,54.45393211103923,720.0,76.5200135452178,2014.4002334573036,,,,False,False,not_attempted,0,0,0,0,40,6,0.15,171.19678206348985,700.0,False,,,False,7,0
proposed,adaptive,12,720.0,12.0,2,degrading,degrading,26 31 44 48,4546,1.1494252873563218,0.87,0.0,34.30365951795914,18.2,62,3,59,3.56647158190237,1.1888238606341233,58.0204036929416,60.0,780.0,0.0,0.0,0.0,1359.020737899933,0.0,0.0,58.0204036929416,780.0,77.04087026863462,2014.4002334573036,,,,False,False,not_attempted,0,0,0,0,40,0,0.0,169.9712503230566,791.0,False,,,False,7,0
proposed,adaptive,13,780.0,13.0,2,degrading,degrading,26 31 44 48,4546,1.2422360248447206,0.8049999999999999,0.0,34.014089117506785,18.216666666666665,59,1,58,3.7047672110624488,3.7047672110624488,61.725170904004045,60.0,840.0,0.0,0.0,0.0,1359.020737899933,0.0,0.0,61.725170904004045,840.0,77.43888186016085,1991.2014057152076,,,,False,False,not_attempted,0,0,0,0,38,6,0.15789473684210525,168.5742888930247,791.0,False,,,False,7,0
proposed,adaptive,14,840.0,14.0,2,degrading,degrading,26 31 44 48,4546,1.3513513513513513,0.74,0.0,33.679839240303636,18.233333333333334,58,2,56,2.6208993754544716,1.3104496877272358,64.34607027945852,60.0,900.0,0.0,0.0,0.0,1359.020737899933,0.0,0.0,64.34607027945852,900.0,78.47269250516914,1929.8667137096593,,,,False,False,not_attempted,0,0,0,0,40,10,0.25,168.15686244557824,848.0,False,,,False,7,0
proposed,adaptive,15,900.0,15.0,3,degrading,degrading,26 31 44 48,4546,1.4814814814814814,0.675,0.0,33.2897046472472,18.25,56,1,55,3.950231842506917,3.950231842506917,68.29630212196544,60.0,960.0,9.735255699953996,117.42390690010507,127.15916260005906,1486.179900499992,0.0,0.0,68.29630212196544,960.0,79.57551309204118,1793.8005196533802,80.68618954157517,79.57551309204118,1.1106764495339974,True,True,lower_residual_energy,2,11,2,11,38,13,0.34210526315789475,168.0635291122449,848.0,False,True,24.0,True,9,0
proposed,adaptive,16,960.0,16.0,3,degrading,degrading,26 31 44 48,4546,1.639344262295082,0.61,0.0,32.828391387310525,18.266666666666666,55,3,52,3.091655273275685,1.0305517577585617,71.38795739524113,60.0,1020.0,0.0,0.0,0.0,1486.179900499992,0.0,0.0,71.38795739524113,1020.0,80.26105035187456,1793.8005196533802,,,,False,False,not_attempted,0,0,0,0,30,6,0.2,167.08289017604287,907.0,False,,,False,8,0
proposed,adaptive,17,1020.0,17.0,3,degrading,degrading,26 31 44 48,4546,1.8348623853211008,0.545,0.0,32.27446466839824,18.283333333333335,52,6,46,4.4933769504388605,0.7488961584064767,75.88133434567999,60.0,1080.0,0.0,0.0,0.0,1486.179900499992,0.0,0.0,75.88133434567999,1080.0,83.41488233430252,1750.7261016354253,,,,False,False,not_attempted,0,0,0,0,33,5,0.15151515151515152,166.46306654949578,930.0,False,,,False,8,0
proposed,adaptive,18,1080.0,18.0,3,degrading,degrading,26 31 44 48,4546,2.0833333333333335,0.48,0.0,31.596922859858367,18.3,46,1,45,5.318542761965092,5.318542761965092,81.19987710764508,60.0,1140.0,0.0,0.0,0.0,1486.179900499992,0.0,0.0,81.19987710764508,1140.0,85.74937844548865,1621.2665463342241,,,,False,False,not_attempted,0,0,0,0,27,12,0.4444444444444444,166.36973321616244,930.0,False,,,False,8,0
proposed,adaptive,19,1140.0,19.0,3,degrading,degrading,26 31 44 48,4546,2.409638554216868,0.4149999999999999,0.0,30.749189772869467,18.316666666666666,45,2,43,5.526248195910445,2.7631240979552225,86.72612530355552,60.0,1200.0,0.0,0.0,0.0,1486.179900499992,0.0,0.0,86.72612530355552,1200.0,88.75168274850422,1637.0667684086789,,,,False,False,not_attempted,0,0,0,0,18,11,0.6111111111111112,165.7503132487021,988.0,False,,,False,7,0
proposed,adaptive,20,1200.0,20.0,4,disrupted,holding,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.333333333333332,43,4,39,3.2548471633117164,0.8137117908279291,89.98097246686724,60.0,1260.0,9.988026899984106,87.07367379998323,97.06170069996733,1583.2416011999594,0.0,0.0,89.98097246686724,1260.0,93.13556678472037,1521.6232056635022,93.13556678472037,99.49814398378194,-6.362577199061576,True,False,incumbent_not_worse,4,17,0,0,15,6,0.4,165.65697991536877,1072.0,False,True,20.0,True,7,0
proposed,adaptive,21,1260.0,21.0,4,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.35,39,4,35,5.248699326302651,1.3121748315756627,95.2296717931699,60.0,1320.0,0.0,0.0,0.0,1583.2416011999594,0.0,0.0,95.2296717931699,1320.0,89.7922039657164,1521.6232056635022,,,,False,False,not_attempted,0,0,0,0,17,4,0.23529411764705882,164.9848867383018,1171.0,False,,,False,7,0
proposed,adaptive,22,1320.0,22.0,4,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.366666666666667,35,0,35,4.493483778609109,4.493483778609109,99.723155571779,60.0,1380.0,0.0,0.0,0.0,1583.2416011999594,0.0,0.0,99.723155571779,1380.0,82.97791287839887,1480.0037475354234,,,,False,False,not_attempted,0,0,0,0,22,2,0.09090909090909091,164.55280843947443,1171.0,False,,,False,7,0
proposed,adaptive,23,1380.0,23.0,4,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.383333333333333,35,1,34,1.2340813651137028,1.2340813651137028,100.95723693689271,60.0,1440.0,0.0,0.0,0.0,1583.2416011999594,0.0,0.0,100.95723693689271,1440.0,80.46411463200253,1437.5334980039627,,,,False,False,not_attempted,0,0,0,0,15,0,0.0,164.4594751061411,1171.0,False,,,False,7,0
proposed,adaptive,24,1440.0,24.0,4,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.4,34,3,31,4.246672668873435,1.415557556291145,105.20390960576614,60.0,1500.0,0.0,0.0,0.0,1583.2416011999594,0.0,0.0,105.20390960576614,1500.0,79.22657296058765,1309.5846829348513,,,,False,False,not_attempted,0,0,0,0,15,8,0.5333333333333333,161.04056743398831,1171.0,False,,,False,7,0
proposed,adaptive,25,1500.0,25.0,5,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.416666666666668,31,3,28,3.7069258883837053,1.2356419627945685,108.91083549414985,60.0,1560.0,8.160003926604986e-05,46.40663600002881,46.40671760006808,1629.6483188000275,0.0,0.0,108.91083549414985,1560.0,74.84490912145122,1286.7826138368673,74.84490912145122,80.57236040010187,-5.727451278650648,True,False,incumbent_not_worse,4,14,0,0,40,6,0.15,158.75538187284621,1201.0,False,True,23.0,True,7,0
proposed,adaptive,26,1560.0,26.0,5,disrupted,disrupted,26 31 44 48,4546,2.857142857142857,0.35,0.0,29.657929450275514,18.433333333333334,28,2,26,3.657391192807056,1.828695596403528,112.5682266869569,60.0,1620.0,0.0,0.0,0.0,1629.6483188000275,0.0,0.0,112.5682266869569,1620.0,71.26355844389418,1273.9582773180352,,,,False,False,not_attempted,0,0,0,0,48,2,0.041666666666666664,157.70532351270074,1373.0,False,,,False,6,0
